con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:26:393,3,1.54527,0,0,0.49952,18:26:39,38.5363,27.6788,-0.828738,0.855109,0.437932,0.803943,1.50277,NA,NA,0
18:27:133,3,3.75693,0,0,2.29621,18:27:13,40.0283,26.1651,-0.436293,0,2.27954,0,3.75693,1.79669,1.841608,0
18:27:143,3,3.75693,0,0,2.32941,18:27:14,40.0283,26.1651,-0.521057,0,2.31587,0,3.75693,0.0332,0.03633,0
18:28:193,3,3.75693,0,0,2.35941,18:28:19,38.9595,27.2999,-0.772776,0,2.35941,0,3.75693,0.03,0.04354,0
18:28:203,3,3.75693,0,0,2.35942,18:28:20,38.9595,27.2999,-0.887677,0,2.35942,0,3.75693,0.00001,0.00001,0
18:28:213,3,3.75693,0,0,2.35943,18:28:21,38.9595,27.2999,-0.973119,0,2.35943,0,3.75693,0.00001,0.00001,0
18:28:363,3,3.75693,0,0,2.35949,18:28:36,38.2194,28.5856,-0.773204,0,2.35948,0,3.75693,0.00006,0.00005,0
18:28:373,3,3.75693,0,0,2.35953,18:28:37,38.2194,28.5856,-0.88609,0,2.35951,0,3.75693,0.00004,0.00003,0
18:28:383,3,3.75693,0,0,2.35955,18:28:38,38.2194,28.5856,-0.976446,0,2.35954,0,3.75693,0.00002,0.00003,0
18:28:393,3,3.75693,0,0,2.35956,18:28:39,38.2194,28.5856,-1.04487,0,2.35956,0,3.75693,0.00001,0.00002,0
18:28:473,3,3.75693,0,0,2.35959,18:28:47,38.8526,27.886,-0.783904,0,2.35959,0,3.75693,0.00003,0.00003,0
18:29:103,3,3.75693,0,0,2.35964,18:29:10,38.466,27.7911,-0.71769,0,2.35964,0,3.75693,0.00005,0.00005,0
18:29:203,3,3.75693,0,0,2.3597,18:29:20,38.0643,25.903,-0.718506,0,2.3597,0,3.75693,0.00006,0.00006,0
18:29:213,3,3.75693,0,0,2.35971,18:29:21,38.0643,25.903,-0.831729,0,2.3597,0,3.75693,0.00001,0,0
18:29:223,3,3.75693,0,0,2.35971,18:29:22,38.0643,25.903,-0.93896,0,2.35971,0,3.75693,0,0.00001,0
18:29:233,3,3.75693,0,0,2.35973,18:29:23,38.0643,25.903,-1.00877,0,2.35972,0,3.75693,0.00002,0.00001,0
18:30:063,3,3.75693,0,0,2.35977,18:30:06,35.0919,30.047,-0.729571,0,2.35977,0,3.75693,0.00004,0.00005,0
18:30:073,3,3.75693,0,0,2.35978,18:30:07,35.0919,30.047,-0.842941,0,2.35978,0,3.75693,0.00001,0.00001,0
18:30:093,3,3.75693,0,0,2.35979,18:30:09,35.0919,30.047,-1.01486,0,2.35979,0,3.75693,0.00001,0.00001,0
18:30:103,3,3.75693,0,0,2.3598,18:30:10,35.0919,30.047,-1.07791,0,2.3598,0,3.75693,0.00001,0.00001,0
18:31:443,3,3.75693,0,0,2.35983,18:31:44,35.5519,26.6908,-0.739431,0,2.35983,0,3.75693,0.00003,0.00003,0
18:31:453,3,3.75693,0,0,2.35984,18:31:45,35.5519,26.6908,-0.83863,0,2.35983,0,3.75693,0.00001,0,0
18:31:463,3,3.75693,0,0,2.35984,18:31:46,35.5519,26.6908,-0.94131,0,2.35984,0,3.75693,0,0.00001,0
18:32:283,3,3.75693,0,0,2.35989,18:32:28,38.2541,27.6067,-0.8966,0,2.35989,0,3.75693,0.00005,0.00005,0
18:32:293,3,3.75693,0,0,2.3599,18:32:29,38.2541,27.6067,-0.989622,0,2.3599,0,3.75693,0.00001,0.00001,0
18:32:303,3,3.75693,0,0,2.35992,18:32:30,38.2541,27.6067,-1.05484,0,2.35991,0,3.75693,0.00002,0.00001,0
18:32:323,3,3.75693,0,0,2.35994,18:32:32,38.2541,27.6067,-1.13165,0,2.35993,0,3.75693,0.00002,0.00002,0
18:32:343,3,3.75693,0,0,2.35996,18:32:34,38.2541,27.6067,-1.17756,0,2.35996,0,3.75693,0.00002,0.00003,0
18:32:353,3,3.75693,0,0,2.35999,18:32:35,38.2541,27.6067,-1.19337,0,2.35998,0,3.75693,0.00003,0.00002,0
18:32:363,3,3.75693,0,0,2.35999,18:32:36,38.2541,27.6067,-1.20187,0,2.35999,0,3.75693,0,0.00001,0
