equipo,partido,ptiempo,con,segundos,tag_id,numero,x_pos,y_pos,heading,direction,energy,speed,total_distance.x,total_distance.y,high_intensity_distance,sprint_distance,total_effort,colour,total_effort_diff,total_energy_diff,total_dist_diff,total_sprint_diff
E1,P1,T2,18:35:008,2400,8,6,34.6198,39.5366,-2.68898,-1.96994,3191.05,0.933682,2602.88,2603.04,76.5858,37.7841,3191.09,#00FF1E,1.05,1.22,4.07,0
E1,P1,T2,18:35:008,2700,8,6,34.6198,39.5366,-2.68898,-1.96994,3191.05,0.933682,2602.88,2603.04,76.5858,37.7841,3191.09,#00FF1E,1.05,1.22,4.07,0
E1,P1,T2,18:01:099,69,9,7,32.2538,12.7243,0.23475,0,254.04,0,329.554,329.554,0,0,254.041,#00FF78,0,0,0,0
E1,P1,T2,18:45:009,300,9,7,70.9752,23.1196,-0.383882,0.618929,2116.2,0.147811,2057.61,2057.61,122.883,28.3408,2116.2,#00FF78,0.08,0.08,0.15,0
E1,P1,T2,18:10:009,600,9,7,16.5486,11.1709,0.478928,1.31937,1667.16,1.4723,1547.91,1548.13,114.272,26.6984,1667.25,#00FF78,2.04,2.98,4.54,0
E1,P1,T2,18:15:009,900,9,7,70.9752,23.1196,-0.383882,0.618929,2116.2,0.147811,2057.61,2057.61,122.883,28.3408,2116.2,#00FF78,0.08,0.08,0.15,0
E1,P1,T2,18:20:009,1200,9,7,35.4134,17.4568,-1.96762,-2.58627,2879.58,2.42476,2788.14,2790.57,170.725,66.4876,2881.85,#00FF78,3.85,3.29,3.23,0
E1,P1,T2,18:25:009,1500,9,7,33.7056,17.4053,1.43986,-2.54734,3316.92,1.12447,3316.32,3316.32,179.419,66.4876,3316.92,#00FF78,1.23,1.61,0.72,0
E1,P1,T2,18:30:009,1800,9,7,41.0305,23.1035,1.55385,1.9651,3960.67,4.24959,3880.94,3883.18,225.512,88.526,3964,#00FF78,5.9,3.96,5.46,0
E1,P1,T2,18:45:009,2100,9,7,70.9752,23.1196,-0.383882,0.618929,2116.2,0.147811,2057.61,2057.61,122.883,28.3408,2116.2,#00FF78,0.08,0.08,0.15,0
E1,P1,T2,18:45:009,2400,9,7,32.2538,12.7243,0.23475,0,254.04,0,329.554,329.554,0,0,254.041,#00FF78,0,0,0,0
E1,P1,T2,18:45:009,2700,9,7,36.4683,19.5724,-1.14028,-1.63686,5846.74,1.96015,5586.89,5588.02,275.573,91.8938,5848.02,#00FF78,6,5.89,3.97,0
E1,P1,T2,18:45:10,69,10,8,46.946,22.4323,2.39148,-2.97284,4916.89,0.967571,3835.66,3837.16,264.175,61.2247,4920.57,#00FFD2,12.57,11.33,4.04,0
E1,P1,T2,18:45:10,300,10,8,51.8053,41.1063,-0.519573,1.26586,5771.69,2.3816,4485.86,4489.57,340.9,62.2777,5774.12,#00FFD2,12.49,10.06,7.04,0
E1,P1,T2,18:45:10,600,10,8,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#00FFD2,5.68,4.3,3.35,0
E1,P1,T2,18:15:10,900,10,8,78.9709,29.4797,1.49612,-0.608141,3197.51,0.962516,2420.58,2420.72,191.902,48.5455,3198.16,#00FFD2,1.32,0.67,0.8,0
E1,P1,T2,18:45:10,1200,10,8,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#00FFD2,5.68,4.3,3.35,0
E1,P1,T2,18:25:10,1500,10,8,46.946,22.4323,2.39148,-2.97284,4916.89,0.967571,3835.66,3837.16,264.175,61.2247,4920.57,#00FFD2,12.57,11.33,4.04,0
E1,P1,T2,18:30:10,1800,10,8,51.8053,41.1063,-0.519573,1.26586,5771.69,2.3816,4485.86,4489.57,340.9,62.2777,5774.12,#00FFD2,12.49,10.06,7.04,0
E1,P1,T2,18:35:10,2100,10,8,46.5128,3.02195,1.98635,1.33843,6706.86,4.62958,5182.49,5182.73,385.602,70.2503,6707.18,#00FFD2,3.99,4.13,4.11,0
E1,P1,T2,18:45:10,2400,10,8,51.8053,41.1063,-0.519573,1.26586,5771.69,2.3816,4485.86,4489.57,340.9,62.2777,5774.12,#00FFD2,12.49,10.06,7.04,0
E1,P1,T2,18:45:10,2700,10,8,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#00FFD2,5.68,4.3,3.35,0
E1,P1,T2,0.76125,69,12,9,74.5904,71.048,-0.965478,0,2.36761,0,0.285215,0.285215,0,0,2.36761,#0078FF,0,0,0,0
E1,P1,T2,18:05:12,300,12,9,74.5904,71.048,-0.968088,0,2.36837,0,0.285215,0.285215,0,0,2.36838,#0078FF,0.00001,0,0,0
E1,P1,T2,18:30:12,600,12,9,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#0078FF,5.68,4.3,3.35,0
E1,P1,T2,18:30:12,900,12,9,46.5128,3.02195,1.98635,1.33843,6706.86,4.62958,5182.49,5182.73,385.602,70.2503,6707.18,#0078FF,5.68,4.3,3.35,0
E1,P1,T2,18:20:12,1200,12,9,74.5904,71.048,-0.970335,0,2.37218,0,0.285215,0.285215,0,0,2.37218,#0078FF,0,0,0,0
E1,P1,T2,18:30:12,1500,12,9,46.5128,3.02195,1.98635,1.33843,6706.86,4.62958,5182.49,5182.73,385.602,70.2503,6707.18,#0078FF,5.68,4.3,3.35,0
E1,P1,T2,18:30:12,1800,12,9,74.5904,71.048,-0.961152,0,2.37406,0,0.285215,0.285215,0,0,2.37406,#0078FF,0,0,0,0
E1,P1,T2,18:30:12,2100,12,9,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#0078FF,12.49,10.06,7.04,0
E1,P1,T2,18:30:12,2400,12,9,46.5128,3.02195,1.98635,1.33843,6706.86,4.62958,5182.49,5182.73,385.602,70.2503,6707.18,#0078FF,5.68,4.3,3.35,0
E1,P1,T2,18:30:12,2700,12,9,50.3282,23.9317,-1.25632,-1.94203,8566.97,2.80785,6610.23,6611.27,550.946,96.7407,8568.35,#0078FF,12.49,10.06,7.04,0
