con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:102,2,256.339,0,0,150.857,18:01:10,27.0131,29.549,1.15104,1.95367,150.782,0.913873,256.07,NA,NA,0
18:01:112,2,258.524,0,0,151.13,18:01:11,27.7098,28.4355,0.910353,2.83528,151.043,1.50035,257.42,0.273,0.261,0
18:01:142,2,261.996,0,0,151.448,18:01:14,26.4952,28.4218,0.905041,0.155377,151.403,0.978122,261.222,0.318,0.36,0
18:01:192,2,265.972,0,0,156.113,18:01:19,24.6371,28.9827,0.889068,2.56069,156.113,0.598783,265.972,4.665,4.71,0
18:01:212,2,266.897,0,0,166.506,18:01:21,25.2057,28.5054,0.792266,0.373023,165.135,0.176064,266.846,10.393,9.022,0
18:01:222,2,267.723,0,0,169.958,18:01:22,25.6451,28.3289,1.19695,2.23972,168.597,1.11092,267.38,3.452,3.462,0
18:01:232,2,268.368,0,0,174.406,18:01:23,25.4852,27.9487,2.26656,-1.74722,173.958,1.76228,268.274,4.448,5.361,0
18:01:242,2,271.428,0,0,183.13,18:01:24,23.3713,27.2455,3.07205,-1.72526,180.304,2.30042,270.509,8.724,6.346,0
18:01:252,2,277.493,0,0,191.635,18:01:25,20.0533,28.1326,-2.32253,-1.1637,186.13,4.58442,273.983,8.505,5.826,0
18:01:282,2,288.413,0,0,221.687,18:01:28,10.9482,34.0955,-0.244621,-0.232259,214.73,3.62549,285.225,30.052,28.6,0
18:01:292,2,291.716,0,0,228.37,18:01:29,12.6095,37.1132,0.846896,1.22758,222.88,3.65826,288.958,6.683,8.15,0
18:01:302,2,293.442,0,0,230.949,18:01:30,17.0137,37.711,1.27074,1.16065,230.949,5.16383,293.442,2.579,8.069,0
18:01:322,2,304.661,0.413109,0,244.065,18:01:32,26.0176,40.5547,1.3597,1.26589,241.793,3.97373,303.032,13.116,10.844,0
18:01:342,2,313.345,0.413109,0,254.689,18:01:34,34.2617,39.3228,2.24867,1.68236,251.609,3.38392,311.531,10.624,9.816,0
18:01:372,2,322.343,0.413109,0,264.862,18:01:37,43.7698,36.266,2.58257,2.53754,264.568,3.55422,321.982,10.173,12.959,0
18:01:392,2,327.268,0.413109,0,269.815,18:01:39,45.3822,31.3431,2.89411,2.57694,269.743,0.585407,327.197,4.953,5.175,0
18:01:402,2,327.577,0.413109,0,270.455,18:01:40,45.4724,31.2951,3.04264,-2.15973,270.428,0.684827,327.538,0.64,0.685,0
18:01:412,2,329.15,0.413109,0,273.353,18:01:41,44.7674,30.3435,2.98694,-2.85737,272.784,0.994171,328.741,2.898,2.356,0
18:01:422,2,329.272,0.413109,0,274.263,18:01:42,44.7521,29.8759,2.36041,1.05512,273.924,0.101029,329.226,0.91,1.14,0
18:01:452,2,339.356,0.413109,0,287.8,18:01:45,47.0874,36.8797,-0.332902,-0.286351,285.489,4.17323,337.389,13.537,11.565,0
18:01:482,2,351.452,0.413109,0,299.179,18:01:48,45.5678,50.5115,-0.235296,-0.0887254,299.079,4.42046,351.237,11.379,13.59,0
18:01:492,2,355.295,0.413109,0,306.577,18:01:49,46.0035,53.4594,0.684422,0.555089,303.726,2.08722,354.275,7.398,4.647,0
18:01:502,2,356.155,0.413109,0,308.565,18:01:50,47.3279,54.3273,0.981172,1.41011,307.635,1.60221,355.916,1.988,3.909,0
18:01:512,2,357.977,0.413109,0,320.468,18:01:51,47.8257,54.191,-2.96609,-1.71459,318.648,1.61749,356.987,11.903,11.013,0
18:01:522,2,360.374,0.413109,0,325.297,18:01:52,45.0244,54.5736,-2.56461,-1.284,323.66,2.8427,359.832,4.829,5.012,0
18:01:542,2,365.154,0.413109,0,337.783,18:01:54,40.0272,55.0634,1.28371,-2.03964,337.024,1.96976,364.96,12.486,13.364,0
18:01:572,2,374.416,0.413109,0,351.371,18:01:57,40.6655,46.9765,-3.01765,-3.13498,350.266,3.18275,373.553,13.588,13.242,0
18:01:582,2,377.947,0.413109,0,357.384,18:01:58,40.4044,44.512,-2.555,-2.84393,354.248,2.50455,376.038,6.013,3.982,0
18:02:012,2,390.845,0.413109,0,372.314,18:02:01,31.4921,35.9486,-2.05415,-1.68947,368.992,3.4799,388.726,14.93,14.744,0
18:02:022,2,391.954,0.413109,0,374.92,18:02:02,28.6343,36.0492,3.09223,-1.78663,373.935,1.64226,391.594,2.606,4.943,0
18:02:032,2,395.653,0.413109,0,378.897,18:02:03,27.8888,34.2045,1.70942,-3.02051,377.777,3.08426,393.696,3.977,3.842,0
18:02:052,2,399.313,0.413109,0,381.259,18:02:05,28.6171,29.9196,1.77867,2.34807,380.696,2.40335,398.222,2.362,2.919,0
18:02:072,2,403.345,0.413109,0,387.55,18:02:07,29.4936,29.6625,-2.73034,-1.69509,385.271,2.69912,401.304,6.291,4.575,0
18:02:102,2,413.596,0.413109,0,398.537,18:02:10,18.4939,26.631,-2.14498,-1.72945,398.048,3.73588,413.033,10.987,12.777,0
18:02:132,2,423.415,0.413109,0,415.047,18:02:13,11.7773,31.4196,2.38201,0.502525,413.004,1.84613,422.257,16.51,14.956,0
18:02:142,2,426.371,0.413109,0,418.036,18:02:14,14.1298,32.0306,2.06109,1.58384,416.32,3.36824,424.802,2.989,3.316,0
18:02:152,2,427.279,0.413109,0,421.863,18:02:15,16.473,31.5139,2.12118,2.28972,421.378,0.834097,427.245,3.827,5.058,0
18:02:172,2,432.596,0.413109,0,435.639,18:02:17,18.3694,32.3949,0.757442,1.91278,433.115,3.51857,430.577,13.776,11.737,0
18:02:182,2,435.482,0.413109,0,438.508,18:02:18,22.431,31.8922,0.906344,1.44985,437.976,4.01462,434.707,2.869,4.861,0
18:02:192,2,438.353,0.413109,0,442.3,18:02:19,25.6317,32.8861,1.21987,1.0962,442.05,2.83217,438.074,3.792,4.074,0
18:02:202,2,443.63,0.413109,0,448.886,18:02:20,27.8106,35.1571,1.34156,0.554144,446.407,4.14616,441.267,6.586,4.357,0
18:02:242,2,449.135,0.413109,0,457.65,18:02:24,29.3027,39.2778,1.05136,0.119896,457.004,2.23698,448.347,8.764,10.597,0
18:02:252,2,449.833,0.413109,0,458.948,18:02:25,29.8161,39.7452,0.302095,1.75839,457.877,1.12827,449.335,1.298,0.873,0
18:02:272,2,458.847,0.688441,0,476.599,18:02:27,29.4409,45.1588,-0.586403,-0.524583,465.93,5.25091,455.923,17.651,8.053,0
18:02:282,2,460.204,0.688441,0,483.083,18:02:28,27.5544,48.2082,0.712012,-0.407385,479.096,1.57514,459.511,6.484,13.166,0
18:02:292,2,460.976,0.688441,0,484.595,18:02:29,28.5875,47.9517,2.1113,2.05004,484.595,3.15461,460.976,1.512,5.499,0
18:02:302,2,464.993,0.688441,0,488.526,18:02:30,32.2719,46.3649,1.98072,1.84767,488.526,3.72494,464.993,3.931,3.931,0
18:02:332,2,478.876,0.688441,0,505.395,18:02:33,42.4855,44.304,2.48651,2.02651,501.286,3.37905,475.595,16.869,12.76,0
18:02:342,2,482.546,0.688441,0,508.34,18:02:34,45.6918,43.0105,2.65861,1.88295,505.439,3.6996,479.06,2.945,4.153,0
18:02:362,2,487.177,0.688441,0,512.323,18:02:36,50.6685,37.0677,2.76259,2.0966,512.241,1.99829,487.081,3.983,6.802,0
18:02:372,2,488.975,0.688441,0,514.169,18:02:37,51.6238,35.9027,2.71477,2.98496,514.142,2.45514,488.711,1.846,1.901,0
18:02:402,2,495.944,0.688441,0,515.361,18:02:40,53.4589,30.4619,3.04071,-3.12986,515.142,1.96333,494.727,1.192,1,0
18:02:412,2,496.802,0.688441,0,515.494,18:02:41,53.3852,28.882,3.09195,-2.85771,515.382,1.10375,496.313,0.133,0.24,0
18:02:432,2,499.021,0.688441,0,515.872,18:02:43,53.2055,26.7601,3.1109,2.91104,515.816,1.09574,498.613,0.378,0.434,0
18:02:442,2,500.128,0.688441,0,516.133,18:02:44,53.3493,25.5553,2.97523,2.94798,516.069,1.23244,499.828,0.261,0.253,0
18:02:452,2,501.115,0.688441,0,516.345,18:02:45,53.8422,24.6462,2.80212,2.16371,516.279,0.913155,500.89,0.212,0.21,0
18:02:462,2,501.929,0.688441,0,516.524,18:02:46,54.5163,24.1979,2.42364,2.54763,516.483,0.802957,501.711,0.179,0.204,0
18:02:472,2,502.636,0.688441,0,516.732,18:02:47,54.8266,23.3629,2.36354,2.80306,516.696,0.669888,502.605,0.208,0.213,0
18:02:502,2,506.805,0.688441,0,518.037,18:02:50,52.0645,21.7066,1.58589,-0.77009,517.739,0.662559,506.332,1.305,1.043,0
18:02:532,2,509.154,0.688441,0,518.8,18:02:53,50.9417,22.1604,2.31994,-2.07042,518.728,0.650674,508.328,0.763,0.989,0
18:02:542,2,510.736,0.688441,0,519.011,18:02:54,49.6397,22.0568,1.81259,-1.86855,518.857,1.38766,509.643,0.211,0.129,0
18:02:562,2,513.499,0.688441,0,519.27,18:02:56,52.2052,22.5012,1.9725,1.12064,519.199,1.87215,512.795,0.259,0.342,0
18:02:572,2,514.233,0.688441,0,519.353,18:02:57,52.8852,22.8799,2.35665,-1.79121,519.29,0.473179,513.682,0.083,0.091,0
18:02:592,2,515.142,0.688441,0,519.54,18:02:59,52.0862,22.3062,2.38278,0.268787,519.534,0.54643,515.058,0.187,0.244,0
18:03:002,2,516.571,0.688441,0,520.39,18:03:00,51.5858,23.2849,2.10797,-0.69623,519.818,2.26575,516.196,0.85,0.284,0
18:03:032,2,524.918,0.688441,0,530.236,18:03:03,49.8122,29.2975,0.186476,0.464898,529.034,3.57602,523.497,9.846,9.216,0
18:03:052,2,530.665,0.688441,0,532.753,18:03:05,50.9716,33.9012,0.150358,0.260425,532.21,2.93986,528.354,2.517,3.176,0
18:03:072,2,532.929,0.688441,0,533.791,18:03:07,49.2959,36.2496,1.50232,-1.11909,533.416,1.37696,532.159,1.038,1.206,0
18:03:092,2,537.246,0.688441,0,538.057,18:03:09,45.7528,37.5736,-2.69892,-1.24154,536.753,2.93007,535.972,4.266,3.337,0
18:03:102,2,540.735,0.688441,0,541.821,18:03:10,42.482,38.3655,-1.91821,-1.44581,540.046,3.54603,539.344,3.764,3.293,0
18:03:112,2,544.669,0.688441,0,545.702,18:03:11,39.0964,37.5356,-1.9173,-2.18392,543.981,4.13274,542.935,3.881,3.935,0
18:03:122,2,548.252,0.688441,0,550.387,18:03:12,35.6595,35.554,-3.01376,-1.74682,548.203,3.36421,546.947,4.685,4.222,0
18:03:142,2,555.978,0.688441,0,558.933,18:03:14,29.0886,36.901,-0.178281,-1.07615,557.104,5.18172,554.018,8.546,8.901,0
18:03:182,2,566.109,0.688441,0,581.673,18:03:18,26.2351,38.6815,1.26205,0.42237,580.599,1.0203,565.829,22.74,23.495,0
18:03:192,2,568.372,0.688441,0,583.466,18:03:19,26.1201,40.8798,2.05064,-0.081803,582.876,1.5434,568.044,1.793,2.277,0
18:03:232,2,572.743,0.688441,0,585.908,18:03:23,24.5011,39.6264,1.59026,-1.22796,585.831,1.61231,572.487,2.442,2.955,0
18:03:242,2,575.161,0.688441,0,586.276,18:03:24,22.6121,39.6291,1.53851,-0.993337,586.099,1.44511,574.418,0.368,0.268,0
18:03:252,2,575.713,0.688441,0,586.584,18:03:25,22.3934,40.4132,1.45159,-1.12742,586.402,0.414025,575.291,0.308,0.303,0
18:03:262,2,576.237,0.688441,0,586.722,18:03:26,21.7709,40.603,1.45381,-1.4771,586.633,0.921476,575.946,0.138,0.231,0
18:03:272,2,577.846,0.688441,0,587.392,18:03:27,20.3824,40.2449,2.06549,-1.76611,586.819,1.155,577.386,0.67,0.186,0
18:03:282,2,578.192,0.688441,0,587.628,18:03:28,20.1604,40.4569,2.74543,2.21293,587.475,0.525605,577.97,0.236,0.656,0
18:03:302,2,582.253,0.688441,0,591.271,18:03:30,17.9627,38.7111,2.02645,2.72766,590.129,1.55297,581.416,3.643,2.654,0
18:03:312,2,586.99,0.688441,0,596.352,18:03:31,21.1507,37.5297,2.57289,1.89924,593.7,3.93945,584.878,5.081,3.571,0
18:03:322,2,588.148,0.688441,0,597.516,18:03:32,22.2653,34.9887,-2.51821,-2.82783,597.453,2.5696,588.026,1.164,3.753,0
18:03:372,2,603.383,0.688441,0,612.553,18:03:37,9.84657,35.374,3.05469,-2.13587,610.664,2.97809,602.52,15.037,13.211,0
18:03:382,2,604.155,0.688441,0,616.582,18:03:38,8.49991,35.1373,3.06611,0.678791,615.999,0.619305,604.071,4.029,5.335,0
18:03:402,2,609.168,0.688441,0,625.283,18:03:40,13.3102,36.0966,2.42316,1.0512,623.241,1.0092,608.994,8.701,7.242,0
18:03:412,2,610.473,0.688441,0,632.301,18:03:41,12.6765,36.7582,-2.44248,-1.22673,628.994,1.08972,610.067,7.018,5.753,0
18:03:422,2,614.452,0.688441,0,636.167,18:03:42,13.5815,35.6555,-2.82925,2.13463,633.467,3.82619,611.842,3.866,4.473,0
18:03:452,2,627.017,0.688441,0,648.743,18:03:45,26.1432,32.4889,2.38292,2.01254,646.474,4.19766,625.151,12.576,13.007,0
18:03:462,2,628.367,0.688441,0,654.413,18:03:46,28.681,31.2107,2.77593,1.75277,651.846,0.94393,627.998,5.67,5.372,0
18:03:472,2,629.051,0.688441,0,655.529,18:03:47,27.961,31.3792,-1.77312,-1.59098,655.524,1.62585,628.971,1.116,3.678,0
18:03:492,2,632.093,0.688441,0,661.394,18:03:49,28.7571,30.5076,1.13699,1.31498,661.262,2.60239,631.961,5.865,5.738,0
18:03:502,2,635.47,0.688441,0,664.848,18:03:50,31.5763,31.5269,1.18698,1.23569,664.364,3.35544,634.959,3.454,3.102,0
18:03:512,2,639.967,0.688441,0,669.985,18:03:51,34.9025,32.4078,1.40271,1.36047,668.458,3.28232,638.402,5.137,4.094,0
18:03:522,2,641.622,0.688441,0,671.779,18:03:52,37.8749,33.1438,1.19743,1.15567,671.556,3.02336,641.471,1.794,3.098,0
18:03:532,2,645.135,0.688441,0,675.46,18:03:53,40.1208,35.292,1.19591,0.681331,674.944,2.86774,644.617,3.681,3.388,0
18:03:542,2,647.02,0.688441,0,677.161,18:03:54,41.7341,36.5461,0.932035,0.844042,676.798,2.15018,646.676,1.701,1.854,0
18:03:552,2,649.75,0.688441,0,677.843,18:03:55,42.9123,38.2646,1.05636,0.225865,677.608,1.50646,648.784,0.682,0.81,0
18:03:562,2,651.16,0.688441,0,678.089,18:03:56,43.0032,39.2474,1.89237,0.115185,677.854,0.454059,649.773,0.246,0.246,0
18:03:582,2,653.421,0.688441,0,678.506,18:03:58,40.5682,40.8734,1.98971,-2.44632,678.495,1.76815,653.333,0.417,0.641,0
18:04:002,2,655.267,0.688441,0,681.246,18:04:00,40.7334,39.8661,2.04825,2.40467,680.949,0.786082,654.987,2.74,2.454,0
18:04:012,2,655.68,0.688441,0,681.931,18:04:01,40.5746,39.4583,-2.71788,-1.85627,681.926,0.972591,655.629,0.685,0.977,0
18:04:022,2,657.603,0.688441,0,682.921,18:04:02,39.2808,38.8323,2.49797,-2.02936,682.661,1.42363,657.068,0.99,0.735,0
18:04:042,2,661.461,0.688441,0,688.13,18:04:04,35.585,39.042,-1.15965,-1.04206,687.865,4.14319,661.251,5.209,5.204,0
18:04:052,2,667.694,0.688441,0,693.04,18:04:05,31.6109,41.1194,-1.09154,-1.09562,691.4,4.75346,665.737,4.91,3.535,0
18:04:072,2,673.55,0.688441,0,704.371,18:04:07,24.3648,43.6119,0.390387,-0.282501,704.314,0.793159,673.508,11.331,12.914,0
18:04:092,2,681.432,0.688441,0,713.049,18:04:09,29.3813,45.0206,0.863915,1.52228,710.66,3.18696,679.03,8.678,6.346,0
18:04:122,2,686.236,0.688441,0,717.126,18:04:12,35.9363,45.3642,1.38445,1.28712,716.884,1.55428,685.644,4.077,6.224,0
18:04:132,2,689.195,0.688441,0,718.084,18:04:13,37.1385,46.2328,1.24518,0.900453,717.516,1.71241,687.141,0.958,0.632,0
18:04:142,2,690.336,0.688441,0,718.404,18:04:14,39.0599,47.2082,1.32493,1.1163,718.097,2.1181,689.302,0.32,0.581,0
18:04:162,2,692.652,0.688441,0,719.111,18:04:16,42.1045,48.526,1.08986,1.00838,719.111,1.84086,692.652,0.707,1.014,0
18:04:182,2,697.339,0.688441,0,720.234,18:04:18,45.2917,50.2078,0.71753,0.322722,719.926,1.44048,696.42,1.123,0.815,0
18:04:192,2,697.734,0.688441,0,720.419,18:04:19,45.6696,51.1936,0.800926,0.226513,720.289,0.96004,697.478,0.185,0.363,0
18:04:202,2,698.735,0.688441,0,720.635,18:04:20,45.7622,52.2161,1.13234,0.206831,720.562,0.897579,698.507,0.216,0.273,0
18:04:212,2,699.126,0.688441,0,720.762,18:04:21,45.8285,52.48,2.16961,2.92991,720.706,0.433567,698.927,0.127,0.144,0
18:04:222,2,699.769,0.688441,0,720.9,18:04:22,45.8773,51.9826,2.52359,0,720.842,0,699.431,0.138,0.136,0
