NOMBRE,POSICION,NUMERO,pn,Run,EDAD,PESO,ESTATURA,JJUGADOS,JTITULAR,GOLES,MINJUGADOS,TAMARILLAS,TROJAS,TOQUESB,PASESCOMP,PASESINC,ASISTENCIAS,DISTTOTALkm,DISTxPARTkm,VELOCIDADkm/hra,FALTAS,BALRECUP
Victor Ismael Sosa,med,18,3,22,29,73.8,1.79,17,17,7,1422,6,0,891,494,203,4,189,9.9,6.4,23,133
Isaac Brizuela Mu_�z,med,11,3,23,26,65.6,1.71,17,17,4,1393,6,1,872,509,179,2,161.2,9.5,5.9,21,196
Jes�s Enrique S�nchez Garc�a,med,17,3,24,27,67.5,1.68,16,16,0,1362,5,0,1134,777,215,1,165.7,10.4,6.1,20,354
Jos_ Juan V�zquez G�mez,med,23,3,25,28,64,1.66,8,8,0,335,1,0,396,314,49,0,54.5,6.8,6.6,7,126
Michael P_rez Ortiz,med,25,3,26,23,75,1.69,14,10,0,1014,3,0,760,550,103,1,122.2,8.7,6.5,20,220
Orbel�n Pineda Alvarado,med,7,3,27,20,63.8,1.69,17,17,0,1454,2,0,1143,800,122,0,192.5,11.3,6.8,41,274
Alex Renato Ibarra Mina,med,30,3,28,25,69,1.75,15,15,1,828,3,1,821,462,157,6,140.4,9.4,5.7,33,193
Carlos Iv�n Rosel Bermont,med,29,3,29,21,68,1.67,1,0,0,45,1,0,52,21,8,0,13.1,13.1,6.9,3,22
Javier G�emez L�pez,med,5,3,30,25,77,1.74,4,4,0,153,0,0,139,104,20,0,18.9,4.7,5.8,3,31
Jos_ Daniel Octavio Guerrero Rodr�guez,med,21,3,31,29,69,1.75,14,14,0,1060,2,0,692,540,115,0,133.3,9.5,6.3,14,216
Manuel P_rez Ru�z,med,20,3,32,23,63,1.69,1,0,0,10,0,0,9,6,2,0,1.9,1.9,8.6,0,2
Michael Antonio Arroyo Mina,med,11,3,33,29,70,1.82,13,13,4,578,3,0,501,298,85,0,87.4,10.6,5.7,16,63
Bryan Eduardo Garnica Cort_z,med,15,3,34,20,56.3,1.67,13,2,0,1013,0,0,492,264,115,1,123.3,11,7,22,129
C�ndido Sa�l Ram�rez Montes,med,21,3,35,23,67,1.7,11,3,3,736,2,0,379,171,108,2,83.5,10.4,6.6,20,92
Christian Alejandro Tabo Hornos,med,23,3,36,23,70,1.74,6,0,0,231,1,0,102,40,20,0,26.8,10.5,6.5,15,22
Daniel �lvarez L�pez,med,8,3,37,22,70,1.76,16,9,2,815,3,0,461,267,94,2,98.9,11,6.9,12,93
Javier Alv�n Salas Salazar,med,13,3,38,23,73,1.82,12,8,0,792,1,2,542,422,77,0,95.9,10.9,6.9,5,145
Luis Enrique Robles Ram�rez,med,18,3,39,30,69,1.7,13,11,1,1029,3,0,646,465,111,1,113.5,9.9,6.3,6,218
Luis Ricardo Reyes Moreno,med,14,3,40,25,66,1.81,15,15,0,1350,3,0,822,509,202,3,158.4,10.56,6.7,7,259
