con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:1110,10,349.667,7.58898,0,342.301,18:01:11,45.1337,14.4896,1.0178,0.702887,342.301,0.213389,349.667,NA,NA,0
18:01:1510,10,351.838,7.58898,0,370.114,18:01:15,44.9729,15.8833,0.961737,0.853226,367.299,0.535694,351.814,27.813,24.998,0
18:01:1610,10,352.694,7.58898,0,377.553,18:01:16,44.8754,15.3595,1.12461,-2.75293,377.496,1.11899,352.48,7.439,10.197,0
18:01:1710,10,353.642,7.58898,0,378.441,18:01:17,44.6346,14.6883,1.46582,-2.53858,377.784,0.248067,353.194,0.888,0.288,0
18:01:1810,10,353.955,7.58898,0,379.212,18:01:18,44.0541,14.8862,1.07898,-1.33632,378.699,0.895162,353.822,0.771,0.915,0
18:01:2010,10,355.431,7.58898,0,384.208,18:01:20,43.9416,14.5574,1.61261,2.43708,383.39,0.923074,355.233,4.996,4.691,0
18:01:2210,10,358.158,7.58898,0,390.647,18:01:22,41.8734,13.8518,-0.203524,-1.24548,390.28,2.15689,357.93,6.439,6.89,0
18:01:2310,10,362.578,7.58898,0,396.733,18:01:23,38.658,14.5623,-1.13507,-1.45703,395.584,4.28997,361.231,6.086,5.304,0
18:01:2610,10,369.921,7.58898,0,411.449,18:01:26,31.1748,17.283,-1.31886,-1.19513,411.124,1.42359,369.54,14.716,15.54,0
18:01:2710,10,371.177,7.58898,0,413.684,18:01:27,29.8719,17.9349,-1.5861,-1.18712,413.023,0.988297,370.999,2.235,1.899,0
18:01:2910,10,375.693,7.58898,0,420.826,18:01:29,32.3387,14.9708,0.196289,2.07297,420.615,3.46977,375.339,7.142,7.592,0
18:01:3010,10,380.82,7.58898,0,426.228,18:01:30,35.7645,13.6608,0.29958,1.81858,424.083,3.81006,379.018,5.402,3.468,0
18:01:3110,10,383.095,7.58898,0,428.916,18:01:31,39.724,12.6905,0.298736,1.77897,428.916,4.00991,383.095,2.688,4.833,0
18:01:3210,10,390.265,7.58898,0,437.811,18:01:32,43.6519,12.471,0.947453,1.52685,433.619,4.14814,387.042,8.895,4.703,0
