Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Chiapas,Guadalajara,1,1,47,12,6,16,6,3,0,2,0,53,17,4,16,5,5,0,2,0,Local,20 de feb. 09:00 p. m.,Estadio Victor Manuel Reyna,24290,0,81,Chiapas Local,0.39680419,1.130697615
Guadalajara,Chiapas,1,1,53,17,4,16,5,5,0,2,0,47,12,6,16,6,3,0,2,0,Visitante,20 de feb. 09:00 p. m.,Estadio Victor Manuel Reyna,24290,0,81,Guadalajara Visitante,0.72720277,1.295966735
Pumas,Santos Laguna,1,1,51,21,7,15,8,3,3,0,0,49,11,4,15,4,6,7,0,0,Local,21 de feb. 12:00 p. m.,Estadio Olimpico Universitario,18381,0,27,Pumas Local,0.917058572,0.730956034
Santos Laguna,Pumas,1,1,49,11,4,15,4,6,7,0,0,51,21,7,15,8,3,3,0,0,Visitante,21 de feb. 12:00 p. m.,Estadio Olimpico Universitario,18381,0,27,Santos Laguna Visitante,0.997306656,0.670853368
Puebla,Dorados,3,2,59,13,6,12,6,3,4,2,0,41,12,5,8,4,3,2,1,0,Local,21 de feb. 05:00 p. m.,Estadio Cuauhtemoc,47201,1,91,Puebla Local,0.888841385,0.822325538
Dorados,Puebla,2,3,41,12,5,8,4,3,2,1,0,59,13,6,12,6,3,4,2,0,Visitante,21 de feb. 05:00 p. m.,Estadio Cuauhtemoc,47201,0,91,Dorados Visitante,0.83108888,1.084207464
Veracruz,Pumas,0,0,44,14,0,10,6,0,0,2,0,56,12,0,7,5,0,0,1,0,Local,26 de feb. 09:30 p. m.,Estadio Luis Pirata Fuente,20564,0,69,Veracruz Local,0.775972638,1.736020581
Pumas,Veracruz,0,0,56,12,0,7,5,0,0,1,0,44,14,0,10,6,0,0,2,0,Visitante,26 de feb. 09:30 p. m.,Estadio Luis Pirata Fuente,20564,0,69,Pumas Visitante,1.200461716,0.542103732
Cruz Azul,Monterrey,4,0,46,16,7,15,5,7,2,4,1,54,10,7,13,7,3,2,6,0,Local,27 de feb. 05:00 p. m.,Estadio Azul,23631,1,64,Cruz Azul Local,0.917058572,1.370542564
Monterrey,Cruz Azul,0,4,54,10,7,13,7,3,2,6,0,46,16,7,15,5,7,2,4,1,Visitante,27 de feb. 05:00 p. m.,Estadio Azul,23631,0,64,Monterrey Visitante,1.385148134,1.084207464
Santos Laguna,Puebla,1,1,62,26,9,12,11,0,1,2,0,38,5,1,10,1,0,1,1,1,Local,27 de feb. 07:00 p. m.,Estadio Corona,23119,0,77,Santos Laguna Local,0.761864044,0.904558092
Puebla,Santos Laguna,1,1,38,5,1,10,1,0,1,1,1,62,26,9,12,11,0,1,2,0,Visitante,27 de feb. 07:00 p. m.,Estadio Corona,23119,0,77,Puebla Visitante,1.163524432,0.609866699
Tigres,America,4,1,62,14,7,13,2,2,4,2,0,38,7,3,17,5,3,6,1,2,Local,27 de feb. 07:00 p. m.,Estadio Universitario,41351,1,98,Tigres Local,1.558358273,0.897082406
America,Tigres,1,4,38,7,3,17,5,3,6,1,2,62,14,7,13,2,2,4,2,0,Visitante,27 de feb. 07:00 p. m.,Estadio Universitario,41351,0,98,America Visitante,1.81328483,0.831636407
Leon,Chiapas,1,3,55,21,9,12,6,0,1,2,0,45,6,3,19,1,0,4,4,0,Local,27 de feb. 08:06 p. m.,Estadio Leon,18768,0,61,Leon Local,0.79360838,0.822325538
Chiapas,Leon,3,1,45,6,3,19,1,0,4,4,0,55,21,9,12,6,0,1,2,0,Visitante,27 de feb. 08:06 p. m.,Estadio Leon,18768,1,61,Chiapas Visitante,0.51943055,0.838566711
Morelia,Queretaro,1,1,66,19,5,15,11,4,0,2,0,34,13,5,24,2,5,0,4,0,Local,27 de feb. 08:30 p. m.,Estadio Morelos,18406,0,44,Morelia Local,0.872969218,1.027906923
Queretaro,Morelia,1,1,34,13,5,24,2,5,0,4,0,66,19,5,15,11,4,0,2,0,Visitante,27 de feb. 08:30 p. m.,Estadio Morelos,18406,0,44,Queretaro Visitante,1.81328483,0.720751553
Toluca,Pachuca,0,1,61,26,4,17,12,2,0,2,0,39,14,3,20,3,3,0,2,0,Local,27 de feb. 09:00 p. m.,Estadio Nemesio Diez Riega,12127,0,45,Toluca Local,1.015818726,0.822325538
Pachuca,Toluca,1,0,39,14,3,20,3,3,0,2,0,61,26,4,17,12,2,0,2,0,Visitante,27 de feb. 09:00 p. m.,Estadio Nemesio Diez Riega,12127,1,45,Pachuca Visitante,0.646402462,1.490785263
Dorados,Atlas,2,1,47,7,2,19,5,0,2,1,0,53,8,1,19,3,0,6,2,0,Local,27 de feb. 09:00 p. m.,Estadio Banorte,16333,1,71,Dorados Local,0.634886704,1.461912068
Atlas,Dorados,1,2,53,8,1,19,3,0,6,2,0,47,7,2,19,5,0,2,1,0,Visitante,27 de feb. 09:00 p. m.,Estadio Banorte,16333,0,71,Atlas Visitante,1.246633321,0.731840038
Guadalajara,Tijuana,1,1,64,17,7,16,6,1,4,3,0,36,4,1,15,3,6,1,2,1,Local,28 de feb. 05:00 p. m.,Estadio Chivas,30277,0,61,Guadalajara Local,0.555525866,1.747441769
Tijuana,Guadalajara,1,1,36,4,1,15,3,6,1,2,1,64,17,7,16,6,1,4,3,0,Visitante,28 de feb. 05:00 p. m.,Estadio Chivas,30277,0,61,Tijuana Visitante,1.579068873,1.036773388
Tijuana,Leon,0,0,43,21,7,15,0,2,2,2,0,57,11,2,11,0,7,2,1,0,Local,4 de mar. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Leon,Tijuana,0,0,57,11,2,11,0,7,2,1,0,43,21,7,15,0,2,2,2,0,Visitante,4 de mar. 09:30 p. m.,Estadio Caliente,27333,0,93,Leon Visitante,1.0388611,0.609866699
America,Morelia,4,1,49,22,8,12,6,1,2,0,0,51,8,2,4,9,4,2,2,1,Local,5 de mar. 05:00 p. m.,Azteca Stadium,67420,1,65,America Local,1.385207354,1.121353007
Morelia,America,1,4,51,8,2,4,9,4,2,2,1,49,22,8,12,6,1,2,0,0,Visitante,5 de mar. 05:00 p. m.,Azteca Stadium,67420,0,65,Morelia Visitante,1.14274721,0.762333373
Queretaro,Guadalajara,0,2,41,8,1,10,2,2,0,1,0,59,17,4,13,4,1,0,2,0,Local,5 de mar. 06:30 p. m.,La Corregidora,30627,0,86,Queretaro Local,1.385207354,0.971839273
Guadalajara,Queretaro,2,0,59,17,4,13,4,1,0,2,0,41,8,1,10,2,2,0,1,0,Visitante,5 de mar. 06:30 p. m.,La Corregidora,30627,1,86,Guadalajara Visitante,0.72720277,1.295966735
Monterrey,Tigres,1,0,39,7,2,9,3,1,3,2,1,61,10,1,11,3,1,5,2,1,Local,5 de mar. 07:00 p. m.,Estadio BBVA Bancomer,52815,1,99,Monterrey Local,1.058144506,1.461912068
Tigres,Monterrey,0,1,61,10,1,11,3,1,5,2,1,39,7,2,9,3,1,3,2,1,Visitante,5 de mar. 07:00 p. m.,Estadio BBVA Bancomer,52815,0,99,Tigres Visitante,2.039945434,0.665309126
Pachuca,Dorados,2,2,56,30,9,20,11,3,0,2,0,44,10,5,18,4,7,0,4,0,Local,5 de mar. 08:06 p. m.,Estadio Hidalgo,20809,0,69,Pachuca Local,0.49380077,2.010129094
Dorados,Pachuca,2,2,44,10,5,18,4,7,0,4,0,56,30,9,20,11,3,0,2,0,Visitante,5 de mar. 08:06 p. m.,Estadio Hidalgo,20809,0,69,Dorados Visitante,0.83108888,1.084207464
Atlas,Santos Laguna,1,2,42,13,5,17,4,2,1,3,1,58,17,4,9,3,4,3,2,0,Local,5 de mar. 08:30 p. m.,Estadio Jalisco,27827,0,50,Atlas Local,0.952330056,0.986790646
Santos Laguna,Atlas,2,1,58,17,4,9,3,4,3,2,0,42,13,5,17,4,2,1,3,1,Visitante,5 de mar. 08:30 p. m.,Estadio Jalisco,27827,1,50,Santos Laguna Visitante,0.997306656,0.670853368
Chiapas,Toluca,3,2,53,13,5,12,3,1,3,1,1,47,9,2,13,1,2,5,1,0,Local,5 de mar. 09:00 p. m.,Estadio Victor Manuel Reyna,21632,1,72,Chiapas Local,0.39680419,1.130697615
Toluca,Chiapas,2,3,47,9,2,13,1,2,5,1,0,53,13,5,12,3,1,3,1,1,Visitante,5 de mar. 09:00 p. m.,Estadio Victor Manuel Reyna,21632,0,72,Toluca Visitante,1.329742209,0.609866699
Pumas,Cruz Azul,2,2,42,12,5,19,7,3,4,2,0,58,15,5,11,4,3,4,0,1,Local,6 de mar. 12:00 p. m.,Estadio Olimpico Universitario,35284,0,51,Pumas Local,0.917058572,0.730956034
Cruz Azul,Pumas,2,2,58,15,5,11,4,3,4,0,1,42,12,5,19,7,3,4,2,0,Visitante,6 de mar. 12:00 p. m.,Estadio Olimpico Universitario,35284,0,51,Cruz Azul Visitante,1.200461716,1.016444498
Puebla,Veracruz,1,1,49,12,3,17,5,2,0,1,0,51,10,3,11,5,2,0,3,1,Local,6 de mar. 05:00 p. m.,Estadio Cuauhtemoc,39443,0,76,Puebla Local,0.888841385,0.822325538
Veracruz,Puebla,1,1,51,10,3,11,5,2,0,3,1,49,12,3,17,5,2,0,1,0,Visitante,6 de mar. 05:00 p. m.,Estadio Cuauhtemoc,39443,0,76,Veracruz Visitante,1.015775298,1.287496364
Santos Laguna,Pachuca,3,2,44,12,6,13,5,1,0,3,0,56,10,3,14,3,3,0,0,0,Local,11 de mar. 09:30 p. m.,Estadio Corona,19265,1,64,Santos Laguna Local,0.761864044,0.904558092
Pachuca,Santos Laguna,2,3,56,10,3,14,3,3,0,0,0,44,12,6,13,5,1,0,3,0,Visitante,11 de mar. 09:30 p. m.,Estadio Corona,19265,0,64,Pachuca Visitante,0.646402462,1.490785263
Veracruz,Atlas,3,2,48,17,6,17,7,1,3,2,0,52,7,3,21,4,3,3,4,0,Local,11 de mar. 09:30 p. m.,Estadio Luis Pirata Fuente,17157,1,57,Veracruz Local,0.775972638,1.736020581
Atlas,Veracruz,2,3,52,7,3,21,4,3,3,4,0,48,17,6,17,7,1,3,2,0,Visitante,11 de mar. 09:30 p. m.,Estadio Luis Pirata Fuente,17157,0,57,Atlas Visitante,1.246633321,0.731840038
Cruz Azul,Puebla,1,1,55,13,5,18,8,6,2,2,0,45,11,7,16,2,4,2,3,1,Local,12 de mar. 05:00 p. m.,Estadio Azul,21825,0,59,Cruz Azul Local,0.917058572,1.370542564
Puebla,Cruz Azul,1,1,45,11,7,16,2,4,2,3,1,55,13,5,18,8,6,2,2,0,Visitante,12 de mar. 05:00 p. m.,Estadio Azul,21825,0,59,Puebla Visitante,1.163524432,0.609866699
Tigres,Pumas,0,0,61,14,4,7,7,1,2,0,0,39,9,1,15,4,4,5,3,0,Local,12 de mar. 07:00 p. m.,Estadio Universitario,41437,0,98,Tigres Local,1.558358273,0.897082406
Pumas,Tigres,0,0,39,9,1,15,4,4,5,3,0,61,14,4,7,7,1,2,0,0,Visitante,12 de mar. 07:00 p. m.,Estadio Universitario,41437,0,98,Pumas Visitante,1.200461716,0.542103732
Leon,Queretaro,2,0,54,12,4,19,6,6,1,1,0,46,12,6,17,5,2,3,7,0,Local,12 de mar. 08:06 p. m.,Estadio Leon,13690,1,44,Leon Local,0.79360838,0.822325538
Queretaro,Leon,0,2,46,12,6,17,5,2,3,7,0,54,12,4,19,6,6,1,1,0,Visitante,12 de mar. 08:06 p. m.,Estadio Leon,13690,0,44,Queretaro Visitante,1.81328483,0.720751553
Morelia,Monterrey,1,3,68,25,7,6,13,0,6,2,0,32,12,3,12,2,0,3,3,0,Local,12 de mar. 08:30 p. m.,Estadio Morelos,21064,0,51,Morelia Local,0.872969218,1.027906923
Monterrey,Morelia,3,1,32,12,3,12,2,0,3,3,0,68,25,7,6,13,0,6,2,0,Visitante,12 de mar. 08:30 p. m.,Estadio Morelos,21064,1,51,Monterrey Visitante,1.385148134,1.084207464
Chiapas,Tijuana,1,2,60,12,6,15,10,2,1,2,0,40,11,4,10,4,5,4,0,0,Local,12 de mar. 09:00 p. m.,Estadio Victor Manuel Reyna,18361,0,61,Chiapas Local,0.39680419,1.130697615
Tijuana,Chiapas,2,1,40,11,4,10,4,5,4,0,0,60,12,6,15,10,2,1,2,0,Visitante,12 de mar. 09:00 p. m.,Estadio Victor Manuel Reyna,18361,1,61,Tijuana Visitante,1.579068873,1.036773388
Toluca,Dorados,3,0,51,23,7,11,4,2,1,3,0,49,15,2,13,5,4,2,3,1,Local,13 de mar. 12:00 p. m.,Estadio Nemesio Diez Riega,12180,1,45,Toluca Local,1.015818726,0.822325538
Dorados,Toluca,0,3,49,15,2,13,5,4,2,3,1,51,23,7,11,4,2,1,3,0,Visitante,13 de mar. 12:00 p. m.,Estadio Nemesio Diez Riega,12180,0,45,Dorados Visitante,0.83108888,1.084207464
Guadalajara,America,1,2,54,19,7,11,9,0,0,2,1,46,9,2,27,4,0,0,4,1,Local,13 de mar. 07:30 p. m.,Estadio Chivas,44716,0,90,Guadalajara Local,0.555525866,1.747441769
America,Guadalajara,2,1,46,9,2,27,4,0,0,4,1,54,19,7,11,9,0,0,2,1,Visitante,13 de mar. 07:30 p. m.,Estadio Chivas,44716,1,90,America Visitante,1.81328483,0.831636407
Queretaro,Chiapas,1,1,42,23,6,10,3,3,3,1,0,58,7,4,15,4,5,1,2,0,Local,18 de mar. 07:30 p. m.,La Corregidora,23329,0,66,Queretaro Local,1.385207354,0.971839273
Chiapas,Queretaro,1,1,58,7,4,15,4,5,1,2,0,42,23,6,10,3,3,3,1,0,Visitante,18 de mar. 07:30 p. m.,La Corregidora,23329,0,66,Chiapas Visitante,0.51943055,0.838566711
Tijuana,Toluca,0,0,56,23,3,15,6,5,2,1,0,44,14,6,14,5,3,1,2,0,Local,18 de mar. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Toluca,Tijuana,0,0,44,14,6,14,5,3,1,2,0,56,23,3,15,6,5,2,1,0,Visitante,18 de mar. 09:30 p. m.,Estadio Caliente,27333,0,93,Toluca Visitante,1.329742209,0.609866699
America,Leon,2,1,50,12,5,12,6,4,2,1,0,50,14,5,14,10,3,2,3,0,Local,19 de mar. 05:00 p. m.,Azteca Stadium,32692,1,32,America Local,1.385207354,1.121353007
Leon,America,1,2,50,14,5,14,10,3,2,3,0,50,12,5,12,6,4,2,1,0,Visitante,19 de mar. 05:00 p. m.,Azteca Stadium,32692,0,32,Leon Visitante,1.0388611,0.609866699
Monterrey,Guadalajara,1,3,49,14,6,19,2,4,0,3,0,51,13,7,15,4,4,0,1,0,Local,19 de mar. 07:00 p. m.,Estadio BBVA Bancomer,52101,0,97,Monterrey Local,1.058144506,1.461912068
Guadalajara,Monterrey,3,1,51,13,7,15,4,4,0,1,0,49,14,6,19,2,4,0,3,0,Visitante,19 de mar. 07:00 p. m.,Estadio BBVA Bancomer,52101,1,97,Guadalajara Visitante,0.72720277,1.295966735
Pachuca,Veracruz,6,0,68,19,11,15,4,2,0,2,0,32,5,2,12,4,5,0,1,1,Local,19 de mar. 08:06 p. m.,Estadio Hidalgo,25426,1,85,Pachuca Local,0.49380077,2.010129094
Veracruz,Pachuca,0,6,32,5,2,12,4,5,0,1,1,68,19,11,15,4,2,0,2,0,Visitante,19 de mar. 08:06 p. m.,Estadio Hidalgo,25426,0,85,Veracruz Visitante,1.015775298,1.287496364
Atlas,Cruz Azul,0,2,64,19,6,10,10,0,1,1,0,36,6,2,12,5,0,1,2,0,Local,19 de mar. 08:30 p. m.,Estadio Jalisco,45845,0,82,Atlas Local,0.952330056,0.986790646
Cruz Azul,Atlas,2,0,36,6,2,12,5,0,1,2,0,64,19,6,10,10,0,1,1,0,Visitante,19 de mar. 08:30 p. m.,Estadio Jalisco,45845,1,82,Cruz Azul Visitante,1.200461716,1.016444498
Dorados,Santos Laguna,3,1,41,21,8,16,6,2,1,2,0,59,12,3,20,6,5,1,4,0,Local,19 de mar. 09:00 p. m.,Estadio Banorte,16333,1,71,Dorados Local,0.634886704,1.461912068
Santos Laguna,Dorados,1,3,59,12,3,20,6,5,1,4,0,41,21,8,16,6,2,1,2,0,Visitante,19 de mar. 09:00 p. m.,Estadio Banorte,16333,0,71,Santos Laguna Visitante,0.997306656,0.670853368
Puebla,Tigres,0,0,40,14,2,9,2,1,5,4,1,60,17,1,14,4,2,1,4,0,Local,20 de mar. 05:00 p. m.,Estadio Cuauhtemoc,43516,0,84,Puebla Local,0.888841385,0.822325538
Tigres,Puebla,0,0,60,17,1,14,4,2,1,4,0,40,14,2,9,2,1,5,4,1,Visitante,20 de mar. 05:00 p. m.,Estadio Cuauhtemoc,43516,0,84,Tigres Visitante,2.039945434,0.665309126
Pumas,Morelia,4,2,46,14,5,12,4,1,4,0,0,54,16,3,7,3,3,2,1,0,Local,20 de mar. 06:00 p. m.,Estadio Olimpico Universitario,22277,1,32,Pumas Local,0.917058572,0.730956034
Morelia,Pumas,2,4,54,16,3,7,3,3,2,1,0,46,14,5,12,4,1,4,0,0,Visitante,20 de mar. 06:00 p. m.,Estadio Olimpico Universitario,22277,0,32,Morelia Visitante,1.14274721,0.762333373
Morelia,Chiapas,2,0,58,9,4,9,8,2,2,2,0,42,7,2,15,5,2,1,1,2,Local,26 de mar. 08:30 p. m.,Estadio Morelos,18027,1,43,Morelia Local,0.872969218,1.027906923
Chiapas,Morelia,0,2,42,7,2,15,5,2,1,1,2,58,9,4,9,8,2,2,2,0,Visitante,26 de mar. 08:30 p. m.,Estadio Morelos,18027,0,43,Chiapas Visitante,0.51943055,0.838566711
Toluca,Santos Laguna,0,0,59,17,3,10,6,5,4,0,0,41,20,5,18,1,3,2,4,0,Local,1 de abr. 08:30 p. m.,Estadio Nemesio Diez Riega,13520,0,50,Toluca Local,1.015818726,0.822325538
Santos Laguna,Toluca,0,0,41,20,5,18,1,3,2,4,0,59,17,3,10,6,5,4,0,0,Visitante,1 de abr. 08:30 p. m.,Estadio Nemesio Diez Riega,13520,0,50,Santos Laguna Visitante,0.997306656,0.670853368
Tijuana,Queretaro,2,4,46,14,6,15,4,2,3,1,1,54,16,6,20,4,4,3,3,0,Local,1 de abr. 09:30 p. m.,Estadio Caliente,26333,0,90,Tijuana Local,1.206284737,1.397953415
Queretaro,Tijuana,4,2,54,16,6,20,4,4,3,3,0,46,14,6,15,4,2,3,1,1,Visitante,1 de abr. 09:30 p. m.,Estadio Caliente,26333,1,90,Queretaro Visitante,1.81328483,0.720751553
Veracruz,Dorados,0,0,56,14,3,16,8,7,1,0,0,44,20,7,16,5,2,5,3,0,Local,1 de abr. 09:30 p. m.,Estadio Luis Pirata Fuente,16850,0,56,Veracruz Local,0.775972638,1.736020581
Dorados,Veracruz,0,0,44,20,7,16,5,2,5,3,0,56,14,3,16,8,7,1,0,0,Visitante,1 de abr. 09:30 p. m.,Estadio Luis Pirata Fuente,16850,0,56,Dorados Visitante,0.83108888,1.084207464
Cruz Azul,Pachuca,0,0,48,8,4,10,8,2,2,3,1,52,12,2,14,4,4,4,5,0,Local,2 de abr. 05:00 p. m.,Estadio Azul,26783,0,73,Cruz Azul Local,0.917058572,1.370542564
Pachuca,Cruz Azul,0,0,52,12,2,14,4,4,4,5,0,48,8,4,10,8,2,2,3,1,Visitante,2 de abr. 05:00 p. m.,Estadio Azul,26783,0,73,Pachuca Visitante,0.646402462,1.490785263
Tigres,Atlas,2,2,51,17,6,13,7,1,0,2,0,49,8,3,18,4,4,0,3,0,Local,2 de abr. 07:00 p. m.,Estadio Universitario,41230,0,98,Tigres Local,1.558358273,0.897082406
Atlas,Tigres,2,2,49,8,3,18,4,4,0,3,0,51,17,6,13,7,1,0,2,0,Visitante,2 de abr. 07:00 p. m.,Estadio Universitario,41230,0,98,Atlas Visitante,1.246633321,0.731840038
Leon,Monterrey,1,2,58,18,4,13,9,7,4,2,0,42,18,9,12,4,3,1,1,2,Local,2 de abr. 08:06 p. m.,Estadio Leon,23546,0,76,Leon Local,0.79360838,0.822325538
Monterrey,Leon,2,1,42,18,9,12,4,3,1,1,2,58,18,4,13,9,7,4,2,0,Visitante,2 de abr. 08:06 p. m.,Estadio Leon,23546,1,76,Monterrey Visitante,1.385148134,1.084207464
Morelia,Puebla,2,0,43,10,4,19,4,4,1,4,0,57,9,4,7,2,2,2,3,1,Local,2 de abr. 08:30 p. m.,Estadio Morelos,17286,1,42,Morelia Local,0.872969218,1.027906923
Puebla,Morelia,0,2,57,9,4,7,2,2,2,3,1,43,10,4,19,4,4,1,4,0,Visitante,2 de abr. 08:30 p. m.,Estadio Morelos,17286,0,42,Puebla Visitante,1.163524432,0.609866699
Chiapas,America,0,2,45,12,3,8,10,5,4,2,0,55,15,7,15,2,3,2,1,0,Local,2 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,21559,0,72,Chiapas Local,0.39680419,1.130697615
America,Chiapas,2,0,55,15,7,15,2,3,2,1,0,45,12,3,8,10,5,4,2,0,Visitante,2 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,21559,1,72,America Visitante,1.81328483,0.831636407
Guadalajara,Pumas,4,0,60,14,8,15,2,4,0,1,0,40,13,4,18,4,4,0,4,0,Local,3 de abr. 08:30 p. m.,Estadio Chivas,39477,1,79,Guadalajara Local,0.555525866,1.747441769
Pumas,Guadalajara,0,4,40,13,4,18,4,4,0,4,0,60,14,8,15,2,4,0,1,0,Visitante,3 de abr. 08:30 p. m.,Estadio Chivas,39477,0,79,Pumas Visitante,1.200461716,0.542103732
Queretaro,Toluca,0,0,51,16,4,17,3,5,2,2,0,49,12,5,17,6,4,3,3,0,Local,8 de abr. 07:30 p. m.,La Corregidora,19775,0,56,Queretaro Local,1.385207354,0.971839273
Toluca,Queretaro,0,0,49,12,5,17,6,4,3,3,0,51,16,4,17,3,5,2,2,0,Visitante,8 de abr. 07:30 p. m.,La Corregidora,19775,0,56,Toluca Visitante,1.329742209,0.609866699
Santos Laguna,Veracruz,2,0,57,17,5,13,4,6,0,0,0,43,13,6,13,3,3,0,1,0,Local,8 de abr. 09:30 p. m.,Estadio Corona,18892,1,63,Santos Laguna Local,0.761864044,0.904558092
Veracruz,Santos Laguna,0,2,43,13,6,13,3,3,0,1,0,57,17,5,13,4,6,0,0,0,Visitante,8 de abr. 09:30 p. m.,Estadio Corona,18892,0,63,Veracruz Visitante,1.015775298,1.287496364
America,Tijuana,6,1,64,19,11,13,5,5,2,2,0,36,10,7,9,3,5,1,3,0,Local,9 de abr. 05:00 p. m.,Azteca Stadium,28611,1,28,America Local,1.385207354,1.121353007
Tijuana,America,1,6,36,10,7,9,3,5,1,3,0,64,19,11,13,5,5,2,2,0,Visitante,9 de abr. 05:00 p. m.,Azteca Stadium,28611,0,28,Tijuana Visitante,1.579068873,1.036773388
Monterrey,Chiapas,6,0,59,12,7,9,3,3,3,2,0,41,9,3,10,3,1,3,2,0,Local,9 de abr. 07:00 p. m.,Estadio BBVA Bancomer,50612,1,95,Monterrey Local,1.058144506,1.461912068
Chiapas,Monterrey,0,6,41,9,3,10,3,1,3,2,0,59,12,7,9,3,3,3,2,0,Visitante,9 de abr. 07:00 p. m.,Estadio BBVA Bancomer,50612,0,95,Chiapas Visitante,0.51943055,0.838566711
Pachuca,Tigres,2,1,51,10,4,20,5,1,3,5,0,49,6,2,21,3,2,2,5,0,Local,9 de abr. 08:06 p. m.,Estadio Hidalgo,27230,1,91,Pachuca Local,0.49380077,2.010129094
Tigres,Pachuca,1,2,49,6,2,21,3,2,2,5,0,51,10,4,20,5,1,3,5,0,Visitante,9 de abr. 08:06 p. m.,Estadio Hidalgo,27230,0,91,Tigres Visitante,2.039945434,0.665309126
Atlas,Morelia,1,2,60,15,7,12,9,4,2,0,0,40,12,6,5,2,6,3,1,0,Local,9 de abr. 08:30 p. m.,Estadio Jalisco,25225,0,45,Atlas Local,0.952330056,0.986790646
Morelia,Atlas,2,1,40,12,6,5,2,6,3,1,0,60,15,7,12,9,4,2,0,0,Visitante,9 de abr. 08:30 p. m.,Estadio Jalisco,25225,1,45,Morelia Visitante,1.14274721,0.762333373
Dorados,Cruz Azul,3,0,46,11,5,20,5,2,0,1,0,54,8,2,22,5,2,0,1,0,Local,9 de abr. 09:00 p. m.,Estadio Banorte,18333,1,80,Dorados Local,0.634886704,1.461912068
Cruz Azul,Dorados,0,3,54,8,2,22,5,2,0,1,0,46,11,5,20,5,2,0,1,0,Visitante,9 de abr. 09:00 p. m.,Estadio Banorte,18333,0,80,Cruz Azul Visitante,1.200461716,1.016444498
Puebla,Guadalajara,0,3,44,7,2,13,0,2,0,3,2,56,24,5,13,0,2,0,2,0,Local,10 de abr. 05:00 p. m.,Estadio Cuauhtemoc,45527,0,88,Puebla Local,0.888841385,0.822325538
Guadalajara,Puebla,3,0,56,24,5,13,0,2,0,2,0,44,7,2,13,0,2,0,3,2,Visitante,10 de abr. 05:00 p. m.,Estadio Cuauhtemoc,45527,1,88,Guadalajara Visitante,0.72720277,1.295966735
Pumas,Leon,1,2,54,7,4,13,4,4,4,0,0,46,11,6,9,5,3,1,1,0,Local,10 de abr. 06:30 p. m.,Estadio Olimpico Universitario,22459,0,33,Pumas Local,0.917058572,0.730956034
Leon,Pumas,2,1,46,11,6,9,5,3,1,1,0,54,7,4,13,4,4,4,0,0,Visitante,10 de abr. 06:30 p. m.,Estadio Olimpico Universitario,22459,1,33,Leon Visitante,1.0388611,0.609866699
Queretaro,America,1,0,40,15,4,10,7,3,2,2,0,60,23,3,16,6,3,1,2,0,Local,15 de abr. 07:30 p. m.,La Corregidora,30718,1,86,Queretaro Local,1.385207354,0.971839273
America,Queretaro,0,1,60,23,3,16,6,3,1,2,0,40,15,4,10,7,3,2,2,0,Visitante,15 de abr. 07:30 p. m.,La Corregidora,30718,0,86,America Visitante,1.81328483,0.831636407
Tijuana,Monterrey,1,2,48,10,3,9,9,2,8,2,0,52,14,4,18,6,2,1,4,0,Local,15 de abr. 09:30 p. m.,Estadio Caliente,27133,0,92,Tijuana Local,1.206284737,1.397953415
Monterrey,Tijuana,2,1,52,14,4,18,6,2,1,4,0,48,10,3,9,9,2,8,2,0,Visitante,15 de abr. 09:30 p. m.,Estadio Caliente,27133,1,92,Monterrey Visitante,1.385148134,1.084207464
Toluca,Veracruz,4,2,54,26,8,12,3,5,4,1,0,46,13,7,7,5,4,1,2,0,Local,16 de abr. 12:45 p. m.,Estadio Nemesio Diez Riega,13479,1,50,Toluca Local,1.015818726,0.822325538
Veracruz,Toluca,2,4,46,13,7,7,5,4,1,2,0,54,26,8,12,3,5,4,1,0,Visitante,16 de abr. 12:45 p. m.,Estadio Nemesio Diez Riega,13479,0,50,Veracruz Visitante,1.015775298,1.287496364
Cruz Azul,Santos Laguna,0,1,61,12,4,11,13,1,3,2,1,39,7,2,10,7,4,5,3,0,Local,16 de abr. 05:00 p. m.,Estadio Azul,14603,0,40,Cruz Azul Local,0.917058572,1.370542564
Santos Laguna,Cruz Azul,1,0,39,7,2,10,7,4,5,3,0,61,12,4,11,13,1,3,2,1,Visitante,16 de abr. 05:00 p. m.,Estadio Azul,14603,1,40,Santos Laguna Visitante,0.997306656,0.670853368
Tigres,Dorados,5,2,71,20,10,10,7,1,5,2,0,29,4,3,15,1,5,1,3,1,Local,16 de abr. 07:00 p. m.,Estadio Universitario,41435,1,98,Tigres Local,1.558358273,0.897082406
