con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:105,5,298.337,0,0,365.091,18:01:10,35.4604,30.6104,0.969282,-0.486245,364.69,0.502848,298.217,NA,NA,0
18:01:115,5,298.637,0,0,365.581,18:01:11,35.3133,30.4806,1.33295,3.07471,365.553,0.589009,298.572,0.49,0.863,0
18:01:125,5,299.702,0,0,366.589,18:01:12,35.5198,29.6772,1.3737,2.2567,366.082,0.583853,299.416,1.008,0.529,0
18:01:145,5,300.74,0,0,367.821,18:01:14,36.314,29.762,1.47916,2.8212,367.821,1.38084,300.74,1.232,1.739,0
18:01:175,5,304.394,0,0,368.781,18:01:17,36.7028,28.8343,1.38877,1.2987,368.713,1.23375,303.939,0.96,0.892,0
18:01:185,5,304.893,0,0,368.884,18:01:18,37.048,29.2455,1.54284,-3.00618,368.852,0.500723,304.653,0.103,0.139,0
18:01:195,5,306.056,0,0,370.077,18:01:19,37.5198,29.1519,1.32244,0.827289,368.935,0.895297,305.347,1.193,0.083,0
18:01:225,5,311.246,0,0,385.871,18:01:22,37.1455,29.5024,-3.08608,-2.53392,384.792,4.33689,310.327,15.794,15.857,0
18:01:235,5,316.362,0,0,391.408,18:01:23,33.7384,26.051,-2.05978,-2.14686,390.678,4.79481,315.209,5.537,5.886,0
18:01:245,5,319.367,0,0,395.522,18:01:24,29.7899,25.1581,-2.57677,-1.37799,395.522,3.74275,319.367,4.114,4.844,0
18:01:255,5,323.238,0,0,401.989,18:01:25,27.1588,26.8901,-3.00346,-0.605996,400.682,2.68498,322.606,6.467,5.16,0
18:01:265,5,327.578,0,0,410.278,18:01:26,25.3114,28.4482,-1.8062,-1.11112,405.498,2.8237,325.074,8.289,4.816,0
18:01:285,5,331.704,0,0,417.276,18:01:28,23.822,31.7633,-0.145085,0.759024,415.559,4.12425,330.091,6.998,10.061,0
18:01:295,5,337.012,0,0,424.331,18:01:29,26.8341,35.2693,0.903485,0.590981,420.654,4.18443,334.72,7.055,5.095,0
18:01:315,5,341.617,0,0,432.391,18:01:31,31.7162,37.2328,1.08464,1.15876,430.992,3.89784,340.593,8.06,10.338,0
18:01:325,5,345.14,0,0,436.758,18:01:32,35.1479,39.2933,1.43998,1.17269,435.743,3.61674,344.604,4.367,4.751,0
18:01:335,5,348.349,0,0,443.032,18:01:33,38.4018,40.3535,1.72708,1.36677,442.163,3.21721,348.029,6.274,6.42,0
18:01:345,5,353.943,0,0,450.423,18:01:34,41.6446,40.1775,1.76902,1.7427,446.653,3.24252,351.297,7.391,4.49,0
18:01:355,5,354.567,0,0,451.021,18:01:35,44.4682,39.511,1.68386,1.73924,450.61,2.52475,354.199,0.598,3.957,0
18:01:365,5,358.355,0,0,458.326,18:01:36,46.7339,39.7392,2.07206,1.38616,455.718,2.32964,356.497,7.305,5.108,0
18:01:405,5,371.148,0,0,477.177,18:01:40,54.6735,29.7513,1.88992,2.7896,473.295,1.98276,369.895,18.851,17.577,0
