con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:0913,13,242.18,0,0,204.34,18:01:09,21.1081,17.618,1.4134,1.74127,202.25,0.907549,241.842,NA,NA,0
18:01:1013,13,243.199,0,0,209.843,18:01:10,21.5971,17.311,0.959733,2.23072,205.142,1.15874,242.425,5.503,2.892,0
18:01:1313,13,244.9,0,0,222.181,18:01:13,22.3597,16.7874,1.26092,2.11924,220.215,0.611541,244.714,12.338,15.073,0
18:01:1513,13,246.838,0,0,229.229,18:01:15,22.1348,16.5704,1.05086,-0.721197,228.374,1.49761,246.45,7.048,8.159,0
18:01:1713,13,248.444,0,0,231.753,18:01:17,21.4684,16.8749,1.28218,1.71682,231.644,1.1588,247.926,2.524,3.27,0
18:01:1813,13,250.156,0,0,231.838,18:01:18,23.3741,17.777,1.34306,0.682295,231.838,1.5159,250.09,0.085,0.194,0
18:01:1913,13,252.266,0,0,231.932,18:01:19,21.8037,17.5289,1.3312,-2.01577,231.918,2.68019,252.015,0.094,0.08,0
18:01:2013,13,253.35,0,0,232.576,18:01:20,21.2143,17.3518,1.18122,0.928986,232.48,1.33536,253.202,0.644,0.562,0
18:01:2313,13,258.723,0,0,242.139,18:01:23,21.4717,18.4155,0.945942,-1.62348,240.815,1.73863,257.905,9.563,8.335,0
18:01:2413,13,260.644,0,0,245.764,18:01:24,19.1959,18.9665,1.03836,-1.17413,244.986,2.55355,260.272,3.625,4.171,0
18:01:2513,13,263.54,0,0,252.718,18:01:25,17.2671,20.1195,1.11793,-0.775357,250.681,2.32652,262.537,6.954,5.695,0
18:01:2613,13,265.64,0,0,256.1,18:01:26,15.9439,22.5547,0.091481,-0.362407,255.421,3.13083,265.33,3.382,4.74,0
18:01:2713,13,267.868,0,0,259.893,18:01:27,14.8504,24.7189,-0.753105,-0.681129,259.797,1.98547,267.766,3.793,4.376,0
18:01:2913,13,273.655,0,0,269.824,18:01:29,13.4307,28.306,-0.0558807,1.71094,269.063,2.86739,273.206,9.931,9.266,0
18:01:3013,13,277.109,0,0,274.503,18:01:30,16.4265,29.4401,-0.561562,0.940707,273.34,3.78299,276.536,4.679,4.277,0
18:01:3113,13,282.972,0,0,281.815,18:01:31,20.1671,30.6826,-1.03616,1.41199,278.252,3.97689,280.523,7.312,4.912,0
18:01:3413,13,295.677,0,0,296.136,18:01:34,32.6774,26.5315,0.264169,1.85589,294.018,4.722,293.94,14.321,15.766,0
18:01:3513,13,300.825,0,0,303.087,18:01:35,36.722,26.979,-1.72216,1.32539,298.745,3.8482,298.078,6.951,4.727,0
18:01:3613,13,304.091,0,0,307.38,18:01:36,40.0385,27.4637,-2.05883,1.48485,303.994,3.0211,301.432,4.293,5.249,0
18:01:3713,13,306.03,0,0,312.261,18:01:37,43.3083,26.8354,-2.06115,1.87769,309.464,3.37277,304.792,4.881,5.47,0
18:01:3813,13,307.278,0,0,316.458,18:01:38,45.263,26.8942,-2.82369,1.15138,314.659,0.822645,306.827,4.197,5.195,0
18:01:3913,13,309.454,0,0,320.226,18:01:39,45.8981,25.4868,2.5348,2.80941,318.704,2.83036,308.457,3.768,4.045,0
18:01:4013,13,311.484,0,0,324.879,18:01:40,46.3539,23.1567,2.56009,-2.95696,322.886,1.63407,310.86,4.653,4.182,0
18:01:4213,13,314.958,0,0,335.524,18:01:42,44.8819,19.9661,2.02081,-3.00855,332.847,2.02804,314.399,10.645,9.961,0
18:01:4313,13,316.252,0,0,339.822,18:01:43,45.8062,19.4283,0.994533,1.13373,339.151,1.79738,315.871,4.298,6.304,0
18:01:4413,13,320.656,0,0,347.651,18:01:44,47.1159,21.2824,-0.0175993,0.128128,344.701,3.42129,318.263,7.829,5.55,0
18:01:4513,13,325.583,0,0,353.2,18:01:45,46.8716,25.2876,-0.0390417,-0.0581019,349.862,4.08343,322.282,5.549,5.161,0
