con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:099,9,329.554,0,0,254.041,18:01:09,32.2538,12.7243,0.23475,0,254.04,0,329.554,NA,NA,0
18:01:109,9,329.554,0,0,254.042,18:01:10,32.2538,12.7243,0.214395,0,254.041,0,329.554,0.001,0.001,0
18:01:129,9,329.554,0,0,254.046,18:01:12,32.2538,12.7243,0.198756,0,254.045,0,329.554,0.004,0.004,0
18:01:139,9,329.554,0,0,254.047,18:01:13,32.2538,12.7243,0.170021,0,254.047,0,329.554,0.001,0.002,0
18:01:159,9,329.554,0,0,254.05,18:01:15,32.2538,12.7243,0.164347,0,254.05,0,329.554,0.003,0.003,0
18:01:169,9,329.554,0,0,254.05,18:01:16,32.2538,12.7243,0.160641,0,254.05,0,329.554,0,0,0
18:01:179,9,329.554,0,0,254.05,18:01:17,32.2538,12.7243,0.164047,0,254.05,0,329.554,0,0,0
18:01:189,9,329.554,0,0,254.051,18:01:18,32.2538,12.7243,0.168916,0,254.051,0,329.554,0.001,0.001,0
18:01:199,9,329.554,0,0,254.055,18:01:19,32.2538,12.7243,0.17559,0,254.052,0,329.554,0.004,0.001,0
18:01:219,9,330.864,0,0,256.813,18:01:21,32.147,11.9008,-0.457623,-1.76677,256.191,1.87146,330.658,2.758,2.139,0
18:01:229,9,335.477,0,0,263.085,18:01:22,29.2326,11.9841,-0.881144,-1.44379,260.834,3.27759,333.582,6.272,4.643,0
18:01:239,9,338.901,0,0,267.217,18:01:23,26.2852,12.9586,-0.664522,-1.03496,265.047,3.11132,336.712,4.132,4.213,0
18:01:259,9,343.874,0,0,272.633,18:01:25,20.0542,15.7545,0.187962,-1.16648,272.093,3.11177,343.575,5.416,7.046,0
18:01:269,9,347.891,0,0,278.397,18:01:26,18.3857,17.318,0.445815,-0.468077,275.598,1.95668,345.927,5.764,3.505,0
18:01:279,9,348.533,0,0,279.484,18:01:27,17.0956,18.9785,0.29348,-0.753001,278.53,3.07114,348.043,1.087,2.932,0
18:01:289,9,350.814,0,0,283.875,18:01:28,15.9148,21.2445,2.22886,0.685693,283.314,1.45248,350.74,4.391,4.784,0
18:01:299,9,356.845,0,0,292.952,18:01:29,18.9375,20.6232,2.61544,1.97506,289.602,4.93343,353.933,9.077,6.288,0
18:01:309,9,362.108,0,0,299.062,18:01:30,23.775,18.6638,2.05915,1.90714,295.35,4.94933,359.154,6.11,5.748,0
18:01:319,9,364.576,0,0,302.141,18:01:31,28.4699,17.141,1.63341,1.8823,301.826,4.89364,364.09,3.079,6.476,0
18:01:329,9,370.123,0,0,310.188,18:01:32,32.8646,15.8688,1.31263,1.76638,307.785,4.33342,368.669,8.047,5.959,0
18:01:349,9,377.476,0,0,322.001,18:01:34,39.045,16.5732,1.20156,1.42609,318.426,2.91684,374.993,11.813,10.641,0
18:01:359,9,378.398,0,0,322.406,18:01:35,42.4059,16.1644,0.799168,1.7817,322.406,3.70171,378.398,0.405,3.98,0
18:01:369,9,382.878,0,0,330.08,18:01:36,45.4849,15.3148,1.08506,1.95011,328.03,2.62707,381.599,7.674,5.624,0
18:01:379,9,384.107,0,0,332.588,18:01:37,47.9343,14.846,0.233235,1.64643,332.588,2.28957,384.107,2.508,4.558,0
18:01:389,9,385.702,0,0,334.659,18:01:38,49.4062,14.9892,0.32345,1.0472,334.634,0.733492,385.613,2.071,2.046,0
18:01:409,9,387.424,0,0,337.375,18:01:40,49.1077,13.7887,0.630835,2.99148,337.087,1.04581,387.164,2.716,2.453,0
18:01:429,9,391.905,0,0,361.603,18:01:42,52.8026,14.7421,0.314129,1.77315,360.967,3.45256,391.375,24.228,23.88,0
18:01:439,9,394.698,0,0,374.732,18:01:43,55.5142,13.5843,-0.147061,2.27169,372.365,1.65252,394.345,13.129,11.398,0
18:01:449,9,395.409,0,0,375.704,18:01:44,55.6343,13.8662,-1.06877,-0.165995,375.576,2.08981,395.297,0.972,3.211,0
18:01:469,9,405.307,0,0,387.945,18:01:46,52.1017,19.0909,-0.369107,-0.7301,383.656,3.14101,401.845,12.241,8.08,0
18:01:489,9,409.374,0,0,392.879,18:01:48,49.0093,25.4598,-0.204127,-0.73639,392.259,2.81585,408.968,4.934,8.603,0
18:01:509,9,415.92,0,0,400.752,18:01:50,44.6986,29.3332,-0.00152081,-0.588646,399.759,4.40613,414.941,7.873,7.5,0
18:01:529,9,418.822,0,0,408.879,18:01:52,41.8836,29.7444,1.0106,-2.58836,406.936,0.577026,418.647,8.127,7.177,0
18:01:579,9,430.88,0,0,424.642,18:01:57,40.637,25.2526,-2.71932,-3.06682,422.313,4.39583,428.753,15.763,15.377,0
