con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:0912,12,0.285215,0,0,2.36761,18:01:09,74.5904,71.048,-0.965478,0,2.36761,0,0.285215,NA,NA,0
18:01:1012,12,0.285215,0,0,2.36761,18:01:10,74.5904,71.048,-0.966643,0,2.36761,0,0.285215,0,0,0
18:01:1212,12,0.285215,0,0,2.36761,18:01:12,74.5904,71.048,-0.970516,0,2.36761,0,0.285215,0,0,0
18:01:1312,12,0.285215,0,0,2.36761,18:01:13,74.5904,71.048,-0.97085,0,2.36761,0,0.285215,0,0,0
18:01:1412,12,0.285215,0,0,2.36762,18:01:14,74.5904,71.048,-0.971505,0,2.36762,0,0.285215,0.00001,0.00001,0
18:01:1712,12,0.285215,0,0,2.36762,18:01:17,74.5904,71.048,-0.96921,0,2.36762,0,0.285215,0,0,0
18:01:1812,12,0.285215,0,0,2.36763,18:01:18,74.5904,71.048,-0.97289,0,2.36762,0,0.285215,0.00001,0,0
18:01:2112,12,0.285215,0,0,2.36764,18:01:21,74.5904,71.048,-0.973258,0,2.36764,0,0.285215,0.00001,0.00002,0
18:01:2312,12,0.285215,0,0,2.36765,18:01:23,74.5904,71.048,-0.970232,0,2.36765,0,0.285215,0.00001,0.00001,0
18:01:2512,12,0.285215,0,0,2.36765,18:01:25,74.5904,71.048,-0.972267,0,2.36765,0,0.285215,0,0,0
18:01:2812,12,0.285215,0,0,2.36766,18:01:28,74.5904,71.048,-0.97324,0,2.36765,0,0.285215,0.00001,0,0
18:01:3112,12,0.285215,0,0,2.36766,18:01:31,74.5904,71.048,-0.973781,0,2.36766,0,0.285215,0,0.00001,0
18:01:3212,12,0.285215,0,0,2.36767,18:01:32,74.5904,71.048,-0.9728,0,2.36766,0,0.285215,0.00001,0,0
18:01:3312,12,0.285215,0,0,2.36767,18:01:33,74.5904,71.048,-0.970454,0,2.36767,0,0.285215,0,0.00001,0
18:01:3412,12,0.285215,0,0,2.36767,18:01:34,74.5904,71.048,-0.972876,0,2.36767,0,0.285215,0,0,0
18:01:3612,12,0.285215,0,0,2.36768,18:01:36,74.5904,71.048,-0.974388,0,2.36768,0,0.285215,0.00001,0.00001,0
18:01:3712,12,0.285215,0,0,2.36768,18:01:37,74.5904,71.048,-0.974933,0,2.36768,0,0.285215,0,0,0
18:01:4012,12,0.285215,0,0,2.36769,18:01:40,74.5904,71.048,-0.969547,0,2.36769,0,0.285215,0.00001,0.00001,0
18:01:4312,12,0.285215,0,0,2.36771,18:01:43,74.5904,71.048,-0.973447,0,2.36771,0,0.285215,0.00002,0.00002,0
18:01:4412,12,0.285215,0,0,2.36771,18:01:44,74.5904,71.048,-0.970924,0,2.36771,0,0.285215,0,0,0
18:01:4612,12,0.285215,0,0,2.36772,18:01:46,74.5904,71.048,-0.96581,0,2.36772,0,0.285215,0.00001,0.00001,0
18:01:4712,12,0.285215,0,0,2.36773,18:01:47,74.5904,71.048,-0.968709,0,2.36773,0,0.285215,0.00001,0.00001,0
18:01:4812,12,0.285215,0,0,2.36773,18:01:48,74.5904,71.048,-0.969408,0,2.36773,0,0.285215,0,0,0
18:01:4912,12,0.285215,0,0,2.36773,18:01:49,74.5904,71.048,-0.972565,0,2.36773,0,0.285215,0,0,0
18:01:5012,12,0.285215,0,0,2.36773,18:01:50,74.5904,71.048,-0.971784,0,2.36773,0,0.285215,0,0,0
18:01:5112,12,0.285215,0,0,2.36773,18:01:51,74.5904,71.048,-0.970021,0,2.36773,0,0.285215,0,0,0
18:01:5312,12,0.285215,0,0,2.36773,18:01:53,74.5904,71.048,-0.971828,0,2.36773,0,0.285215,0,0,0
18:01:5412,12,0.285215,0,0,2.36774,18:01:54,74.5904,71.048,-0.971223,0,2.36774,0,0.285215,0.00001,0.00001,0
