con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:098,8,250.627,5.36097,3.43714,307.539,18:01:09,28.5504,39.5494,0.927515,2.52704,304.319,1.06079,250.349,NA,NA,3.43714
18:01:118,8,251.272,5.36097,3.43714,318.653,18:01:11,28.57,39.2332,1.65476,-3.13381,315.958,0.696432,251.044,11.114,11.639,3.43714
18:01:128,8,251.886,5.36097,3.43714,322.896,18:01:12,29.0316,39.438,1.39161,0.706562,322.399,1.05423,251.786,4.243,6.441,3.43714
18:01:148,8,254.632,5.36097,3.43714,338.465,18:01:14,29.0859,38.8389,1.67702,3.06715,335.827,1.83201,254.083,15.569,13.428,3.43714
18:01:158,8,255.013,5.36097,3.43714,343.155,18:01:15,29.1325,38.0384,1.67038,-2.22408,342.055,0.316574,254.897,4.69,6.228,3.43714
18:01:168,8,256.666,5.36097,3.43714,352.352,18:01:16,28.3389,38.8379,1.70619,-0.628826,347.878,1.69698,256.059,9.197,5.823,3.43714
18:01:188,8,258.791,5.36097,3.43714,358.747,18:01:18,27.5828,39.9427,0.708522,-0.160419,358.156,2.22244,258.322,6.395,10.278,3.43714
18:01:198,8,259.476,5.36097,3.43714,366.52,18:01:19,27.2516,40.7197,2.38775,-1.46407,363.353,0.285054,259.238,7.773,5.197,3.43714
18:01:208,8,260.099,5.36097,3.43714,367.047,18:01:20,27.2336,40.457,2.44617,2.99956,366.639,0.928078,259.606,0.527,3.286,3.43714
18:01:228,8,263.739,5.36097,3.43714,371.5,18:01:22,27.4513,38.7281,3.05837,-2.87463,368.312,2.70492,261.483,4.453,1.673,3.43714
18:01:238,8,264.518,5.36097,3.43714,372.598,18:01:23,25.4407,36.5848,-2.70344,-2.00387,372.598,3.13386,264.518,1.098,4.286,3.43714
18:01:248,8,269.226,5.36097,3.43714,379.663,18:01:24,22.4478,35.7277,-3.11964,-1.85508,377.223,3.10704,267.635,7.065,4.625,3.43714
18:01:258,8,270.775,5.36097,3.43714,381.128,18:01:25,19.4337,34.8481,2.42036,-1.8124,381.128,2.94574,270.775,1.465,3.905,3.43714
18:01:268,8,275.699,5.36097,3.43714,390.949,18:01:26,16.61,34.3962,2.09635,-1.67284,386.4,2.89102,273.638,9.821,5.272,3.43714
18:01:278,8,276.327,5.36097,3.43714,393.238,18:01:27,13.9492,34.3977,-2.43082,-1.17073,393.238,2.50501,276.327,2.289,6.838,3.43714
18:01:298,8,286.539,5.36097,3.43714,407.924,18:01:29,12.064,42.5649,-2.54602,-0.04024,406.157,4.855,284.978,14.686,12.919,3.43714
18:01:308,8,290.079,5.36097,3.43714,412.793,18:01:30,12.7607,46.5141,-2.72224,0.433363,411.521,3.95173,289.035,4.869,5.364,3.43714
18:01:318,8,294.223,5.36097,3.43714,420.004,18:01:31,15.3094,50.2208,3.10081,0.816211,419.251,4.51001,293.557,7.211,7.73,3.43714
18:01:338,8,303.693,5.36097,3.43714,432.72,18:01:33,23.8396,52.6769,2.9588,1.67214,430.936,4.19143,302.645,12.716,11.685,3.43714
18:01:348,8,309.762,5.36097,3.43714,439.609,18:01:34,28.2009,51.7166,2.72493,1.87259,436.76,5.04986,307.117,6.889,5.824,3.43714
18:01:398,8,328.904,5.36097,3.43714,466.565,18:01:39,46.7571,43.9202,1.95114,2.67554,464.461,3.91347,327.921,26.956,27.701,3.43714
18:01:418,8,332.238,5.36097,3.43714,476.41,18:01:41,47.8259,42.4635,1.14322,-0.61277,474.562,0.770719,331.967,9.845,10.101,3.43714
18:01:448,8,342.867,6.74853,3.43714,487.924,18:01:44,54.6435,46.575,0.16799,0.734061,484.009,4.07909,340.478,11.514,9.447,3.43714
18:01:468,8,350.416,9.11047,5.65228,495.189,18:01:46,61.349,53.2652,0.284131,0.972785,495.128,7.53508,350.039,7.265,11.119,2.21514
18:01:478,8,355.55,10.6871,7.12118,500.379,18:01:47,65.5144,56.3847,0.443631,0.341986,499.67,2.5207,355.299,5.19,4.542,1.4689
18:01:498,8,363.501,10.6871,7.12118,518.667,18:01:49,65.1968,63.1031,-3.03801,-0.266997,514.277,1.76164,362.044,18.288,14.607,1.4689
18:01:508,8,364.822,10.6871,7.12118,519.92,18:01:50,63.0077,62.6838,-3.00232,-2.04772,519.728,4.88296,364.569,1.253,5.451,1.4689
18:01:518,8,373.116,18.5797,7.12118,529.795,18:01:51,57.2338,60.2173,2.68228,-1.89946,526.803,6.64989,370.855,9.875,7.075,1.4689
18:01:528,8,380.055,21.8117,7.12118,538.088,18:01:52,51.438,58.5436,2.22738,-1.78229,534.04,5.36443,376.89,8.293,7.237,1.4689
18:01:538,8,382.993,21.8117,7.12118,544.929,18:01:53,46.8428,58.4093,0.980341,-1.39067,541.878,3.97498,381.519,6.841,7.838,1.4689
18:01:558,8,386.051,21.8117,7.12118,555.415,18:01:55,42.7842,59.3464,1.57253,-2.51109,554.402,1.28401,385.917,10.486,12.524,1.4689
18:01:568,8,388.221,21.8117,7.12118,560.925,18:01:56,42.2015,57.9011,1.77048,-2.90044,559.179,1.87588,387.485,5.51,4.777,1.4689
18:01:588,8,395.531,21.8117,7.12118,572.793,18:01:58,40.1576,52.9594,1.80571,-2.62475,569.108,3.24822,392.847,11.868,9.929,1.4689
18:02:008,8,401.256,21.8117,7.12118,581.464,18:02:00,35.8588,48.2693,1.97082,-2.44,578.806,3.32819,399.236,8.671,9.698,1.4689
18:02:018,8,402.566,21.8117,7.12118,582.986,18:02:01,33.5089,45.9323,1.61778,-2.11577,582.986,3.19187,402.566,1.522,4.18,1.4689
18:02:068,8,411.896,21.8117,7.12118,595.001,18:02:06,28.7311,43.2148,1.14826,2.33081,594.561,1.7617,410.952,12.015,11.575,1.4689
18:02:078,8,413.469,21.8117,7.12118,597.753,18:02:07,28.0321,44.0492,2.35994,-0.873273,596.902,2.73975,412.568,2.752,2.341,1.4689
18:02:088,8,415.901,21.8117,7.12118,601.471,18:02:08,25.5189,44.0683,2.13177,-2.00482,601.067,3.13793,415.266,3.718,4.165,1.4689
18:02:098,8,419.643,21.8117,7.12118,607.206,18:02:09,23.1803,42.0027,2.42661,-2.54765,604.67,3.28987,418.442,5.735,3.603,1.4689
18:02:118,8,428.508,21.8117,7.12118,617.5,18:02:11,17.0442,39.3474,1.99,-2.0856,614.463,4.60652,425.39,10.294,9.793,1.4689
18:02:128,8,430.383,21.8117,7.12118,622.134,18:02:12,14.1104,37.7907,1.35473,-1.9094,617.772,1.9298,428.713,4.634,3.309,1.4689
18:02:138,8,431.662,21.8117,7.12118,624.894,18:02:13,13.0011,39.0481,0.737991,-0.32967,622.289,2.44779,430.631,2.76,4.517,1.4689
18:02:158,8,433.779,21.8117,7.12118,632.023,18:02:15,14.7102,38.9429,1.73289,2.34503,630.209,0.652326,433.633,7.129,7.92,1.4689
18:02:168,8,436.577,21.8117,7.12118,638.89,18:02:16,15.0704,40.1784,0.93937,0.390264,635.945,2.29474,435.003,6.867,5.736,1.4689
18:02:178,8,442.553,22.3629,7.12118,644.892,18:02:17,17.2619,41.4765,0.0920917,1.21526,640.218,4.17311,437.652,6.002,4.273,1.4689
18:02:188,8,443.914,22.3629,7.12118,645.956,18:02:18,21.8468,43.7963,0.43467,1.06639,645.153,4.8174,442.796,1.064,4.935,1.4689
18:02:198,8,447.222,22.3629,7.12118,649.94,18:02:19,25.7213,45.3708,0.447662,1.31889,649.311,4.5186,446.992,3.984,4.158,1.4689
18:02:218,8,454.677,22.3629,7.12118,666.56,18:02:21,32.5628,46.2195,3.07464,-2.69804,665.898,1.47379,454.3,16.62,16.587,1.4689
18:02:238,8,459.303,22.3629,7.12118,679.778,18:02:23,30.8475,43.8061,0.655553,0.777884,677.581,1.52202,458.106,13.218,11.683,1.4689
18:02:248,8,463.052,22.3629,7.12118,683.232,18:02:24,34.0337,45.5872,0.712069,0.99459,682.205,4.99761,461.763,3.454,4.624,1.4689
18:02:258,8,467.4,22.3629,7.12118,687.131,18:02:25,38.1598,48.7335,1.48808,0.874883,686.81,4.67127,466.954,3.899,4.605,1.4689
18:02:278,8,471.547,22.3629,7.12118,711.006,18:02:27,38.919,52.3005,-0.0759939,-0.655825,711.006,2.65459,471.547,23.875,24.196,1.4689
18:02:288,8,474.358,22.3629,7.12118,720.273,18:02:28,37.0267,54.1017,1.79307,-1.03676,720.238,3.42879,474.18,9.267,9.232,1.4689
18:02:338,8,489.961,22.3629,7.12118,749.62,18:02:33,44.4647,51.6243,2.21109,1.94062,749.479,2.91792,489.815,29.347,29.241,1.4689
18:02:348,8,496.537,22.3629,7.12118,757.459,18:02:34,47.4611,51.1254,2.14478,1.73784,753.248,3.52873,492.86,7.839,3.769,1.4689
18:02:378,8,504.108,22.3629,7.12118,765.21,18:02:37,55.1011,45.6896,2.41854,2.60971,764.755,2.23574,502.458,7.751,11.507,1.4689
18:02:388,8,504.411,22.3629,7.12118,765.407,18:02:38,55.915,44.1892,2.44786,2.85092,765.227,0.464269,504.167,0.197,0.472,1.4689
18:02:398,8,505.069,22.3629,7.12118,765.682,18:02:39,55.8306,44.8941,2.7134,0.0831568,765.622,0.815654,504.935,0.275,0.395,1.4689
18:02:408,8,506.094,22.3629,7.12118,766.017,18:02:40,55.5632,44.7879,2.72614,-2.49961,765.898,0.88553,505.463,0.335,0.276,1.4689
18:02:428,8,508.99,22.3629,7.12118,766.386,18:02:42,55.0604,42.4505,2.10362,-2.89658,766.296,1.15369,507.874,0.369,0.398,1.4689
18:02:448,8,511.725,22.3629,7.12118,766.765,18:02:44,55.0952,39.0841,1.17362,1.70808,766.633,0.753704,511.431,0.379,0.337,1.4689
18:02:458,8,511.853,22.3629,7.12118,766.938,18:02:45,55.389,39.1146,2.37565,-1.18015,766.933,0.223602,511.842,0.173,0.3,1.4689
18:02:468,8,513.224,22.3629,7.12118,767.278,18:02:46,55.4334,38.4198,2.33597,3.01625,767.189,1.36216,512.578,0.34,0.256,1.4689
18:02:478,8,514.12,22.3629,7.12118,767.438,18:02:47,55.1811,36.9182,2.06102,-2.77495,767.438,1.78473,514.12,0.16,0.249,1.4689
18:02:488,8,516.244,22.3629,7.12118,767.609,18:02:48,54.4867,34.9126,2.01665,-2.87262,767.609,2.03895,516.244,0.171,0.171,1.4689
18:02:498,8,517.476,22.3629,7.12118,767.766,18:02:49,54.1721,33.7243,1.63608,-3.0467,767.766,1.21426,517.476,0.157,0.157,1.4689
18:02:528,8,521.533,22.3629,7.12118,768.354,18:02:52,55.5148,30.5664,1.04874,1.96296,768.247,0.72902,521.051,0.588,0.481,1.4689
18:02:538,8,522.565,22.3629,7.12118,768.463,18:02:53,56.9769,30.176,1.40429,1.86213,768.463,2.06071,522.565,0.109,0.216,1.4689
18:02:548,8,524.771,22.3629,7.12118,768.844,18:02:54,58.4595,29.8757,1.77257,1.73736,768.716,0.973712,524.082,0.381,0.253,1.4689
18:02:558,8,526.467,22.3629,7.12118,769.161,18:02:55,59.1393,29.0436,1.51917,2.80109,768.943,1.67362,525.216,0.317,0.227,1.4689
18:02:578,8,528.618,22.3629,7.12118,769.434,18:02:57,60.2461,29.1598,1.51307,-0.337125,769.393,1.27274,528.403,0.273,0.45,1.4689
18:02:598,8,532.075,22.3629,7.12118,771.873,18:02:59,57.7652,29.3761,1.87794,-0.484428,770.191,1.83419,531.284,2.439,0.798,1.4689
18:03:008,8,534.649,22.3629,7.12118,775.336,18:03:00,56.9835,31.9388,0.707759,-0.202615,774.477,2.83821,533.969,3.463,4.286,1.4689
18:03:018,8,541.031,22.3629,7.12118,782.248,18:03:01,57.0768,34.9312,0.381895,0.201087,777.767,3.92367,536.989,6.912,3.29,1.4689
18:03:028,8,541.867,22.3629,7.12118,782.694,18:03:02,58.1153,39.055,0.631593,0.22635,782.343,4.19984,541.241,0.446,4.576,1.4689
18:03:038,8,545.937,22.3629,7.12118,786.78,18:03:03,59.3277,42.6917,0.866239,0.557103,785.798,3.45879,545.096,4.086,3.455,1.4689
18:03:068,8,553.946,22.3629,7.12118,798.159,18:03:06,63.6384,48.0194,2.16036,-1.02274,794.825,1.51759,552.444,11.379,9.027,1.4689
18:03:078,8,555.025,22.3629,7.12118,800.292,18:03:07,61.4793,48.515,2.26377,-1.33052,799.294,2.38275,554.665,2.133,4.469,1.4689
18:03:088,8,557.853,22.3629,7.12118,804.587,18:03:08,58.6835,48.9658,2.09188,-1.53403,803.853,3.45341,557.503,4.295,4.559,1.4689
18:03:098,8,564.151,22.3629,7.12118,812.038,18:03:09,55.0067,48.9429,-2.511,-1.5033,808.632,3.90736,561.183,7.451,4.779,1.4689
18:03:108,8,566.3,22.3629,7.12118,813.878,18:03:10,50.6933,48.433,-2.8608,-1.92683,813.225,4.83736,565.571,1.84,4.593,1.4689
18:03:118,8,571.023,22.3629,7.12118,819.812,18:03:11,46.6302,46.4937,2.98593,-1.95195,818.254,3.8734,570.076,5.934,5.029,1.4689
18:03:128,8,574.766,22.3629,7.12118,824.163,18:03:12,42.7164,45.7447,2.90297,-1.63747,823.418,4.49806,574.076,4.351,5.164,1.4689
18:03:138,8,580.16,22.3629,7.12118,830.254,18:03:13,37.9,46.2511,-3.00275,-1.28732,828.185,4.93497,578.945,6.091,4.767,1.4689
18:03:148,8,586.36,22.3629,7.12118,843.379,18:03:14,33.75,48.3489,-0.741498,-0.99231,835.052,4.51408,583.616,13.125,6.867,1.4689
18:03:158,8,588.527,22.3629,7.12118,848.223,18:03:15,30.099,50.8183,2.31903,-1.00677,847.363,3.65206,588.024,4.844,12.311,1.4689
18:03:168,8,591.473,22.3629,7.12118,852.388,18:03:16,27.2435,50.3898,0.95103,-2.09384,851.956,3.35435,591.149,4.165,4.593,1.4689
18:03:178,8,594.599,22.3629,7.12118,859.798,18:03:17,25.4158,50.3272,-0.737525,-0.440133,857.698,1.6195,593.238,7.41,5.742,1.4689
18:03:198,8,598.827,22.3629,7.12118,870.262,18:03:19,27.9644,53.7834,1.50196,2.28209,867.874,0.774607,598.061,10.464,10.176,1.4689
18:03:208,8,600.321,22.3629,7.12118,872.385,18:03:20,28.0032,52.148,2.46456,-3.00788,871.855,2.4363,599.724,2.123,3.981,1.4689
18:03:228,8,604.279,22.3629,7.12118,879.349,18:03:22,26.1424,48.952,2.02908,-2.48948,878.146,2.19993,603.531,6.964,6.291,1.4689
18:03:258,8,607.736,22.3629,7.12118,882.789,18:03:25,23.2622,46.9887,-0.151456,-2.24185,881.674,1.16365,607.186,3.44,3.528,1.4689
18:03:278,8,609.425,22.3629,7.12118,885.848,18:03:27,22.1343,47.5159,0.0737173,-1.34852,885.649,0.738537,609.016,3.059,3.975,1.4689
18:03:288,8,609.992,22.3629,7.12118,886.05,18:03:28,21.4584,47.1455,0.271353,-2.72372,885.992,1.54332,609.91,0.202,0.343,1.4689
18:03:328,8,617.542,22.3629,7.12118,889.679,18:03:32,21.3561,43.8085,0.999888,2.91365,888.607,3.04069,616.291,3.629,2.615,1.4689
18:03:368,8,625.728,22.3629,7.12118,901.789,18:03:36,15.5334,40.6743,1.42424,-1.59555,899.826,3.00896,624.08,12.11,11.219,1.4689
18:03:378,8,626.845,22.3629,7.12118,903.907,18:03:37,12.7921,40.9794,2.11151,-1.54269,903.907,2.15566,626.845,2.118,4.081,1.4689
18:03:408,8,632.672,22.3629,7.12118,918.118,18:03:40,14.2448,39.1452,0.927616,1.91897,916.461,0.760303,632.564,14.211,12.554,1.4689
18:03:418,8,633.353,22.3629,7.12118,925.517,18:03:41,14.5761,38.9227,1.61885,1.63971,920.908,0.746783,633.004,7.399,4.447,1.4689
18:03:428,8,635.816,22.3629,7.12118,931.078,18:03:42,16.161,38.7204,0.0377437,1.45363,929.18,2.72421,634.612,5.561,8.272,1.4689
18:03:438,8,642.445,22.3629,7.12118,938.81,18:03:43,20.0693,40.8829,0.308534,1.02316,935.683,5.33636,639.109,7.732,6.503,1.4689
18:03:448,8,644.966,22.3629,7.12118,943.061,18:03:44,24.5303,42.0475,0.608267,1.61282,941.372,4.62689,643.807,4.251,5.689,1.4689
18:03:458,8,650.564,22.3629,7.12118,950.336,18:03:45,28.7426,41.787,1.07181,1.72893,946.289,3.64626,648.028,7.275,4.917,1.4689
18:03:478,8,652.852,22.3629,7.12118,953.529,18:03:47,31.7263,38.7342,2.21247,2.47864,953.286,0.389127,652.678,3.193,6.997,1.4689
18:03:498,8,659.013,22.3629,7.12118,958.465,18:03:49,34.4295,40.9702,0.432838,1.1911,955.893,3.37417,656.36,4.936,2.607,1.4689
18:03:508,8,661.093,22.3629,7.12118,960.762,18:03:50,38.0508,42.1914,0.845147,1.32279,959.51,3.79611,660.184,2.297,3.617,1.4689
18:03:528,8,667.249,22.3629,7.12118,968.683,18:03:52,43.8937,43.4192,1.0854,0.942051,967.224,2.86454,666.296,7.921,7.714,1.4689
18:03:548,8,670.396,22.3629,7.12118,971.549,18:03:54,45.9667,44.8602,1.84008,-1.54278,971.482,1.75942,669.625,2.866,4.258,1.4689
18:03:558,8,671.781,22.3629,7.12118,971.769,18:03:55,43.9558,45.1463,1.5827,-1.65834,971.755,1.02795,671.661,0.22,0.273,1.4689
18:03:568,8,672.799,22.3629,7.12118,972.045,18:03:56,44.2047,44.3146,1.20944,2.06522,972.003,0.789426,672.701,0.276,0.248,1.4689
18:03:598,8,675.068,22.3629,7.12118,973.562,18:03:59,42.7497,45.1156,1.62258,-1.16494,973.458,0.812792,674.949,1.517,1.455,1.4689
18:04:008,8,676.381,22.3629,7.12118,974.39,18:04:00,42.2225,45.2319,1.64517,-3.06599,974.018,0.509114,675.553,0.828,0.56,1.4689
18:04:028,8,679.354,22.3629,7.12118,979.189,18:04:02,41.108,44.179,1.01497,-1.25287,975.741,1.45265,677.89,4.799,1.723,1.4689
18:04:038,8,681.66,22.3629,7.12118,981.621,18:04:03,39.5832,46.1607,0.015021,-0.40426,980.324,4.25055,680.466,2.432,4.583,1.4689
18:04:048,8,687.494,26.0233,8.89159,987.032,18:04:04,37.3551,51.6896,-0.0583718,-0.42524,986.184,7.08199,686.428,5.411,5.86,1.77041
18:04:058,8,695.326,30.0044,9.59687,997.91,18:04:05,34.185,57.2596,0.352457,-0.607815,992.251,5.16967,692.846,10.878,6.067,0.70528
18:04:098,8,705.686,30.0044,9.59687,1020.25,18:04:09,30.2126,56.4218,1.22976,1.57933,1017.86,3.30777,704.039,22.34,25.609,0.70528
18:04:108,8,710.258,30.0044,9.59687,1025.7,18:04:10,34.0623,55.8596,1.4319,1.74229,1022.7,4.08891,707.937,5.45,4.84,0.70528
18:04:118,8,712.74,30.0044,9.59687,1028.44,18:04:11,37.8275,56.1076,1.43196,1.27752,1027.62,3.83087,711.752,2.74,4.92,0.70528
18:04:138,8,722.666,30.0044,9.59687,1041.62,18:04:13,46.89,56.8856,1.14105,1.59491,1037.67,4.52555,720.948,13.18,10.05,0.70528
18:04:148,8,724.509,30.0044,9.59687,1046.8,18:04:14,49.931,56.5239,2.79845,1.91924,1045.49,2.05528,724.028,5.18,7.82,0.70528
18:04:178,8,728.829,30.0044,9.59687,1051.35,18:04:17,54.2178,57.424,1.60792,0.309391,1051.35,1.35861,728.829,4.55,5.86,0.70528
18:04:198,8,733.7,30.0044,9.59687,1061.04,18:04:19,54.0584,61.3541,2.23303,0.00744642,1059.33,1.90572,732.776,9.69,7.98,0.70528
18:04:208,8,735.226,30.0044,9.59687,1061.66,18:04:20,53.9742,63.1853,2.36385,-0.122646,1061.42,1.68379,734.611,0.62,2.09,0.70528
18:04:218,8,736.038,30.0044,9.59687,1061.96,18:04:21,53.7442,63.5923,2.80395,-2.84711,1061.84,0.918442,735.447,0.3,0.42,0.70528
18:04:228,8,736.278,30.0044,9.59687,1062.02,18:04:22,53.3443,63.0023,2.09771,-2.22174,1062,0.512709,736.191,0.06,0.16,0.70528
18:04:238,8,737.492,30.0044,9.59687,1062.31,18:04:23,53.1114,61.7435,2.11578,-3.10478,1062.31,1.82817,737.492,0.29,0.31,0.70528
18:04:248,8,738.95,30.0044,9.59687,1062.55,18:04:24,53.1646,60.2878,1.82172,3.02214,1062.55,1.11912,738.95,0.24,0.24,0.70528
18:04:258,8,740.181,30.0044,9.59687,1062.77,18:04:25,53.4389,59.1576,1.67945,2.75142,1062.77,1.28377,740.117,0.22,0.22,0.70528
18:04:268,8,741.485,30.0044,9.59687,1062.91,18:04:26,54.1746,58.1014,1.71324,2.37749,1062.9,1.44408,741.412,0.14,0.13,0.70528
18:04:278,8,746.362,30.0044,9.59687,1065.4,18:04:27,55.6214,57.0825,1.16493,1.83547,1063.07,2.17283,743.205,2.49,0.17,0.70528
18:04:288,8,747.617,30.0044,9.59687,1066.66,18:04:28,58.9234,57.5534,0.76083,1.29415,1065.52,4.18722,746.571,1.26,2.45,0.70528
18:04:298,8,752.652,30.0044,9.59687,1072.35,18:04:29,62.743,59.2829,0.998565,1.08402,1070.13,4.13682,750.778,5.69,4.61,0.70528
18:04:328,8,759.833,30.0044,9.59687,1086.28,18:04:32,70.0926,58.5923,1.45116,1.8479,1084.22,1.98173,758.655,13.93,14.09,0.70528
18:04:338,8,761.983,30.0044,9.59687,1090.14,18:04:33,72.3849,57.5922,2.10932,2.04125,1089.08,2.68658,761.159,3.86,4.86,0.70528
18:04:358,8,766.214,30.0044,9.59687,1094.7,18:04:35,76.334,54.4727,1.81174,2.56353,1094.7,1.62586,766.214,4.56,5.62,0.70528
18:04:368,8,767.419,30.0044,9.59687,1098.99,18:04:36,76.2736,53.717,2.97878,-1.43632,1098.32,0.871823,767.213,4.29,3.62,0.70528
