con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:1015,15,307.961,27.6145,0,312.488,18:01:10,50.5213,25.1768,1.07214,2.5026,312.35,1.04286,307.462,NA,NA,0
18:01:1115,15,308.146,27.6145,0,312.532,18:01:11,50.2532,24.9953,0.981575,-0.0142217,312.514,0.311158,308.032,0.044,0.164,0
18:01:1315,15,309.419,27.6145,0,312.776,18:01:13,51.4027,25.4906,1.07456,1.00906,312.776,1.08771,309.419,0.244,0.262,0
18:01:1415,15,310.225,27.6145,0,312.889,18:01:14,52.0718,25.5435,0.876271,-2.7873,312.88,0.309197,310.16,0.113,0.104,0
18:01:1515,15,311.01,27.6145,0,313.17,18:01:15,51.5096,25.2915,0.343552,-0.932055,313.066,0.262851,310.798,0.281,0.186,0
18:01:1615,15,312.049,27.6145,0,313.6,18:01:16,52.0097,25.6973,0.355142,1.53566,313.367,0.399569,311.478,0.43,0.301,0
18:01:1715,15,312.648,27.6145,0,313.738,18:01:17,51.5719,25.423,0.426996,-1.78913,313.617,0.780554,312.088,0.138,0.25,0
18:01:1915,15,314.988,27.6145,0,315.14,18:01:19,52.1761,24.2216,0.409601,0.91716,314.063,1.99644,314.201,1.402,0.446,0
18:01:2015,15,321.312,30.2877,0,323.833,18:01:20,55.1683,26.2989,0.412159,0.970601,320.101,5.02959,317.844,8.693,6.038,0
18:01:2115,15,328.781,36.5964,0,331.048,18:01:21,60.0413,29.5731,0.498465,1.00947,325.701,5.88487,323.716,7.215,5.6,0
18:01:2215,15,332.331,36.5964,0,335.62,18:01:22,64.8674,32.2231,1.65125,1.30214,331.514,4.41148,329.238,4.572,5.813,0
18:01:2315,15,333.539,36.5964,0,336.29,18:01:23,67.4684,30.3351,-2.84067,2.93383,335.726,4.04052,332.93,0.67,4.212,0
18:01:2415,15,337.215,36.5964,0,340.19,18:01:24,65.8263,26.8971,-1.97201,-2.16182,339.725,4.19633,337.005,3.9,3.999,0
18:01:2515,15,342.947,36.5964,0,345.94,18:01:25,62.3234,25.6056,-2.0723,-1.71357,343.471,3.25039,340.771,5.75,3.746,0
18:01:2615,15,346.279,36.5964,0,348.785,18:01:26,59.0945,24.0456,-2.07421,-2.28719,347.292,4.56342,344.435,2.845,3.821,0
18:01:2715,15,350.043,36.5964,0,352.999,18:01:27,55.8957,21.3518,-2.02935,-2.24127,350.867,3.32566,348.618,4.214,3.575,0
18:01:2815,15,351.168,36.5964,0,354.735,18:01:28,54.2908,19.5209,-1.77544,-2.79049,354.403,1.7529,351.083,1.736,3.536,0
18:01:2915,15,353.154,36.5964,0,358.87,18:01:29,54.8783,18.4936,-1.18484,1.76417,357.406,1.45706,352.486,4.135,3.003,0
18:01:3115,15,356.986,36.5964,0,365.511,18:01:31,58.2319,17.6692,-1.05982,1.62531,363.83,2.56821,355.966,6.641,6.424,0
18:01:3315,15,361.4,36.5964,0,374.113,18:01:33,62.3022,17.5183,-0.812417,1.25357,371.435,1.95082,360.085,8.602,7.605,0
18:01:3615,15,366.403,36.5964,0,379.975,18:01:36,68.0412,17.8456,-1.25285,1.66723,379.634,2.36052,366.062,5.862,8.199,0
18:01:3715,15,367.957,36.5964,0,384.933,18:01:37,69.5756,18.237,-0.858937,0.516913,383.889,1.16958,367.743,4.958,4.255,0
18:01:3815,15,371.21,36.5964,0,393.694,18:01:38,68.6667,19.0008,-1.67603,-1.4083,391.19,2.49472,369.174,8.761,7.301,0
18:01:3915,15,372.585,36.5964,0,397.082,18:01:39,65.4406,18.9319,-3.01438,-1.77329,396.589,3.39798,372.416,3.388,5.399,0
18:01:4115,15,377.008,36.5964,0,410.194,18:01:41,61.7411,19.1192,-2.80788,-0.528164,409.127,1.41461,376.743,13.112,12.538,0
18:01:4215,15,378.427,36.5964,0,415.962,18:01:42,61.315,19.9414,2.54126,0.0351813,413.613,0.347047,377.674,5.768,4.486,0
18:01:4315,15,380.358,36.5964,0,418.932,18:01:43,62.3067,20.1287,0.183288,1.13515,416.458,2.02508,378.712,2.97,2.845,0
18:01:4415,15,382.731,36.5964,0,421.287,18:01:44,64.4302,22.4469,-0.336847,0.610193,420.704,4.10824,381.884,2.355,4.246,0
18:01:4515,15,386.641,36.5964,0,424.602,18:01:45,66.6146,26.1852,-0.103765,0.502928,424.469,4.25036,386.217,3.315,3.765,0
18:01:4615,15,392.339,36.5964,0,430.157,18:01:46,68.8903,30.137,-0.0126926,0.486437,428.652,4.76749,390.778,5.555,4.183,0
18:01:4715,15,395.593,36.5964,0,434.014,18:01:47,70.3534,33.4822,-0.0231869,0.373602,432.229,2.67572,394.432,3.857,3.577,0
18:01:5015,15,408.142,36.5964,0,445.007,18:01:50,68.4169,42.2299,-0.939159,-0.631968,442.651,5.00125,404.507,10.993,10.422,0
18:01:5115,15,413.468,36.5964,0,449.428,18:01:51,65.2723,46.3538,-0.858473,-0.691262,446.037,5.19868,409.695,4.421,3.386,0
18:01:5315,15,417.941,36.5964,0,454.798,18:01:53,60.3964,52.4206,-0.239649,-1.11237,454.423,2.75739,417.534,5.37,8.386,0
18:01:5515,15,421.785,36.5964,0,464.291,18:01:55,61.3746,53.6709,2.3185,-2.81655,463.372,0.923124,421.594,9.493,8.949,0
