con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:107,7,311.981,21.679,0,264.526,18:01:10,41.4891,38.5283,1.99248,2.94892,264.322,0.392859,311.412,NA,NA,0
18:01:117,7,312.231,21.679,0,264.691,18:01:11,41.9909,37.9386,1.86326,2.58205,264.646,0.429767,312.191,0.165,0.324,0
18:01:127,7,313.418,21.679,0,264.973,18:01:12,41.743,38.057,1.9283,-0.0159072,264.859,0.681086,312.586,0.282,0.213,0
18:01:137,7,314.3,21.679,0,265.201,18:01:13,41.9188,39.2909,2.08315,-0.683145,265.089,0.473547,313.846,0.228,0.23,0
18:01:147,7,315.501,21.679,0,265.378,18:01:14,41.4229,38.3811,1.96188,3.03873,265.307,1.09971,314.962,0.177,0.218,0
18:01:157,7,316.284,21.679,0,265.459,18:01:15,42.0021,38.1587,1.84501,0.494089,265.41,0.699505,315.776,0.081,0.103,0
18:01:167,7,316.403,21.679,0,265.486,18:01:16,41.8799,38.6572,1.89004,-1.17755,265.462,0.273567,316.342,0.027,0.052,0
18:01:187,7,319.767,21.679,0,265.628,18:01:18,41.4861,37.9557,1.99233,3.0874,265.585,3.35805,318.362,0.142,0.123,0
18:01:197,7,322.005,21.679,0,265.727,18:01:19,41.9022,36.4622,1.70043,0.0895903,265.677,2.02779,320.469,0.099,0.092,0
18:01:207,7,323.856,21.679,0,266.052,18:01:20,41.9191,39.7163,1.99262,0.198932,265.901,1.51875,323.727,0.325,0.224,0
18:01:247,7,338.681,21.679,0,280.176,18:01:24,35.1263,28.8613,2.98015,-2.31129,279.032,4.24211,337.52,14.124,13.131,0
18:01:267,7,343.979,21.679,0,286.819,18:01:26,29.6371,29.1889,-2.51722,-0.725995,286.791,3.8856,343.78,6.643,7.759,0
18:01:287,7,354.879,26.1437,0,297.766,18:01:28,24.5221,35.883,-2.60358,-0.200854,295.825,6.53316,352.413,10.947,9.034,0
18:01:297,7,359.546,26.1437,0,302.239,18:01:29,25.98,40.685,-2.06251,0.898493,300.497,4.44762,357.729,4.473,4.672,0
18:01:317,7,370.982,26.4187,0,311.258,18:01:31,34.9183,43.5506,-2.69049,1.19875,308.779,5.27826,367.185,9.019,8.282,0
18:01:327,7,376.716,26.4187,0,316.111,18:01:32,39.7964,45.6453,-3.12308,1.22825,312.551,4.82272,372.495,4.853,3.772,0
18:01:337,7,378.854,26.4187,0,317.653,18:01:33,44.4049,45.2877,2.73261,1.92215,316.495,5.30648,377.243,1.542,3.944,0
18:01:347,7,382.759,26.4187,0,320.351,18:01:34,49.2812,43.3396,2.86269,2.08477,320.112,5.14801,382.501,2.698,3.617,0
18:01:357,7,389.962,26.4187,0,327.055,18:01:35,53.4096,40.7537,2.75055,2.00465,324.374,4.34311,387.379,6.704,4.262,0
18:01:367,7,392.041,26.4187,0,329.355,18:01:36,56.8372,39.1574,2.35639,2.20986,328.489,3.40076,391.172,2.3,4.115,0
18:01:377,7,397.621,26.4187,0,334.185,18:01:37,59.5607,36.324,2.37506,2.38278,332.097,4.3641,395.107,4.83,3.608,0
18:01:387,7,398.343,26.4187,0,335.753,18:01:38,61.503,33.8971,2.2577,2.90922,335.576,1.89903,398.248,1.568,3.479,0
18:01:397,7,402.866,26.4187,0,340.693,18:01:39,61.952,31.4572,2.27045,2.82251,338.763,3.07956,400.737,4.94,3.187,0
18:01:407,7,404.484,26.4187,0,345.337,18:01:40,62.7932,28.9373,1.99767,3.01573,341.376,1.93148,403.399,4.644,2.613,0
18:01:417,7,404.899,26.4187,0,346.046,18:01:41,62.336,27.9236,2.35785,-1.91501,345.511,0.878562,404.617,0.709,4.135,0
18:01:427,7,406.672,26.4187,0,352.92,18:01:42,62.0794,27.8473,1.66244,1.03891,349.005,1.02085,405.189,6.874,3.494,0
18:01:437,7,411.462,29.4292,0,359.922,18:01:43,64.7977,29.8907,0.238089,0.933834,356.906,5.58188,408.591,7.002,7.901,0
18:01:447,7,415.973,29.4292,4.51131,364.383,18:01:44,69.9698,34.5665,-0.380116,0.711338,364.292,7.81161,415.581,4.461,7.386,4.51131
18:01:457,7,423.246,29.4292,11.7841,369.762,18:01:45,74.3223,40.858,-0.64924,0.486076,369.762,7.12639,423.246,5.379,5.47,7.27279
18:01:467,7,435.422,34.3484,19.0415,381.719,18:01:46,76.2296,47.4237,-0.0703096,0.0854418,377.052,7.39177,430.132,11.957,7.29,7.2574
18:01:477,7,441.82,34.3484,25.4393,388.484,18:01:47,74.819,55.4381,-0.107597,-0.467699,384.591,8.2367,438.376,6.765,7.539,6.3978
18:01:487,7,447.114,37.1477,25.4393,394.663,18:01:48,70.2338,60.3056,-0.502996,-1.07236,392.409,5.28124,445.157,6.179,7.818,6.3978
18:01:497,7,449.48,37.1477,25.4393,398.465,18:01:49,66.0629,61.3289,-1.53582,-1.35092,398.465,2.94943,449.48,3.802,6.056,6.3978
18:01:517,7,458.431,39.2817,25.4393,413.042,18:01:51,64.6091,62.3495,-2.32209,-2.08189,409.341,4.31622,453.395,14.577,10.876,6.3978
18:01:527,7,461.116,41.9663,25.4393,414.906,18:01:52,60.0301,59.6305,3.11984,-1.99556,413.691,5.89276,458.726,1.864,4.35,6.3978
18:01:547,7,469.491,44.7178,25.4393,431.743,18:01:54,50.9754,61.1224,0.87166,-0.836518,428.308,2.47264,468.533,16.837,14.617,6.3978
18:01:567,7,475.996,44.7178,25.4393,440.923,18:01:56,49.2492,58.2549,2.1909,-2.86229,437.615,3.04193,472.813,9.18,9.307,6.3978
18:01:577,7,476.406,44.7178,25.4393,441.162,18:01:57,47.046,55.8616,2.37094,-1.99545,440.958,4.09393,476.2,0.239,3.343,6.3978
18:01:597,7,485.729,44.7178,25.4393,450.813,18:01:59,44.5305,49.7462,2.48557,-2.85143,448.332,2.99301,483.615,9.651,7.374,6.3978
18:02:017,7,492.446,44.7178,25.4393,458.474,18:02:01,39.9515,44.7378,2.93095,-2.32861,455.855,2.95704,490.473,7.661,7.523,6.3978
18:02:037,7,497.333,44.7178,25.4393,461.338,18:02:03,36.6977,40.4943,2.1983,-2.82272,461.123,2.49404,495.852,2.864,5.268,6.3978
18:02:047,7,499.205,44.7178,25.4393,461.81,18:02:04,36.6486,38.2156,1.75123,2.81123,461.537,1.79361,498.166,0.472,0.414,6.3978
18:02:057,7,500.643,44.7178,25.4393,462.407,18:02:05,37.5575,37.6652,1.22167,1.39771,461.867,0.988743,499.353,0.597,0.33,6.3978
18:02:077,7,502.006,44.7178,25.4393,462.868,18:02:07,39.6148,36.3738,2.35758,-0.808099,462.86,0.218654,501.957,0.461,0.993,6.3978
18:02:087,7,502.758,44.7178,25.4393,463.13,18:02:08,38.827,36.3446,3.06186,-1.42405,463.13,1.33469,502.758,0.262,0.27,6.3978
18:02:097,7,506.378,44.7178,25.4393,465.372,18:02:09,36.9323,35.0838,-2.4432,-2.5569,464.588,3.88752,505.205,2.242,1.458,6.3978
18:02:117,7,512.226,44.7178,25.4393,470.674,18:02:11,31.2711,33.9384,-2.67878,-1.1139,470.605,4.23592,512.013,5.302,6.017,6.3978
18:02:127,7,517.332,44.7178,25.4393,474.676,18:02:12,27.5842,35.3717,-2.84551,-1.49229,473.707,3.58587,515.998,4.002,3.102,6.3978
18:02:137,7,519.894,44.7178,25.4393,477.061,18:02:13,24.884,34.4993,2.54931,-2.07216,476.112,2.14615,518.889,2.385,2.405,6.3978
18:02:147,7,521.175,44.7178,25.4393,478.792,18:02:14,23.3435,33.1299,1.61054,-2.52428,478.652,2.04732,520.988,1.731,2.54,6.3978
18:02:157,7,523.537,44.7178,25.4393,484.613,18:02:15,22.5271,34.0379,0.874556,-0.0648771,483.108,2.45481,522.823,5.821,4.456,6.3978
18:02:177,7,528.324,44.7178,25.4393,491.583,18:02:17,25.9598,34.5912,0.977936,1.49849,490.487,3.40474,526.873,6.97,7.379,6.3978
18:02:187,7,530.727,44.7178,25.4393,493.458,18:02:18,29.1525,36.3218,1.11694,1.08639,493.275,3.31729,530.564,1.875,2.788,6.3978
18:02:227,7,542.934,44.7178,25.4393,512.515,18:02:22,36.7097,32.4342,-2.8771,-2.03897,511.325,1.46211,542.585,19.057,18.05,6.3978
18:02:237,7,545.991,44.7178,25.4393,515.287,18:02:23,35.5187,34.7943,1.07381,-0.127719,515.074,4.90568,545.491,2.772,3.749,6.3978
18:02:247,7,553.777,44.7178,25.4393,522.073,18:02:24,36.2408,39.7727,0.464372,0.371216,518.597,5.17896,550.578,6.786,3.523,6.3978
18:02:257,7,556.363,44.7178,25.4393,525.069,18:02:25,38.8312,44.3582,-0.0232646,0.697297,524.472,5.03994,555.866,2.996,5.875,6.3978
18:02:277,7,565.192,44.7178,25.4393,534.031,18:02:27,45.2156,50.7552,1.02166,0.455709,533.736,3.84261,565.005,8.962,9.264,6.3978
18:02:287,7,568.426,44.7178,25.4393,541.421,18:02:28,46.1043,53.0209,2.90382,0.377156,539.813,1.69999,567.44,7.39,6.077,6.3978
18:02:297,7,570.859,44.7178,25.4393,543.835,18:02:29,47.6075,54.7496,1.90293,1.0812,543.239,3.1957,569.789,2.414,3.426,6.3978
18:02:307,7,574.868,44.7178,25.4393,547.101,18:02:30,51.5562,55.953,1.89384,1.33046,545.892,4.66613,573.925,3.266,2.653,6.3978
18:02:317,7,582.543,48.9764,25.4393,552.482,18:02:31,56.5319,56.9237,2.03574,1.3841,550.134,5.76112,578.995,5.381,4.242,6.3978
18:02:327,7,586.138,48.9764,25.4393,555.479,18:02:32,61.7314,57.5704,2.25078,1.83345,553.765,3.33394,584.268,2.997,3.631,6.3978
