con,tag_id,total_distance,high_intensity_distance,sprint_distance,total_effort,hora,x_pos,y_pos,heading,direction,energy,speed,tot_distance,total_effort_diff,total_energy_diff,total_sprint_diff
18:01:1811,11,80.0698,5.73029,5.54082,56.1931,18:01:18,39.4412,69.147,1.33101,0,56.1931,0,80.0698,NA,NA,5.54082
18:01:1911,11,80.0698,5.73029,5.54082,56.1935,18:01:19,39.4412,69.147,1.554,0,56.1934,0,80.0698,0.0004,0.0003,5.54082
18:01:2011,11,80.0698,5.73029,5.54082,56.1937,18:01:20,39.4412,69.147,1.72001,0,56.1937,0,80.0698,0.0002,0.0003,5.54082
18:01:3511,11,80.0698,5.73029,5.54082,56.194,18:01:35,38.9221,70.4992,1.39912,0,56.194,0,80.0698,0.0003,0.0003,5.54082
18:01:3711,11,80.0698,5.73029,5.54082,56.1941,18:01:37,38.9221,70.4992,1.75563,0,56.1941,0,80.0698,0.0001,0.0001,5.54082
18:01:5511,11,80.0698,5.73029,5.54082,56.1941,18:01:55,40.7612,68.6657,1.30268,0,56.1941,0,80.0698,0,0,5.54082
18:01:5611,11,80.0698,5.73029,5.54082,56.1942,18:01:56,40.7612,68.6657,1.37297,0,56.1941,0,80.0698,0.0001,0,5.54082
18:01:5711,11,80.0698,5.73029,5.54082,56.1943,18:01:57,40.7612,68.6657,1.58759,0,56.1942,0,80.0698,0.0001,0.0001,5.54082
18:01:5811,11,80.0698,5.73029,5.54082,56.1943,18:01:58,40.7612,68.6657,1.74653,0,56.1943,0,80.0698,0,0.0001,5.54082
18:02:0611,11,80.0698,5.73029,5.54082,56.1975,18:02:06,39.9821,69.2762,1.29383,0,56.1975,0,80.0698,0.0032,0.0032,5.54082
18:02:0711,11,80.0698,5.73029,5.54082,56.1976,18:02:07,39.9821,69.2762,1.4797,0,56.1976,0,80.0698,0.0001,0.0001,5.54082
18:02:0811,11,80.0698,5.73029,5.54082,56.1977,18:02:08,39.9821,69.2762,1.66765,0,56.1976,0,80.0698,0.0001,0,5.54082
